number,value,datetime_start,datetime_complete,duration,params_grrt_corridor_sample,params_grrt_goal_bias,params_grrt_max_iters,params_grrt_step_m,state
14,0.0,2026-08-14 04:33:09.476856,2026-08-14 04:33:37.177571,0 days 00:00:27.700715,0.5702225704744298,0.09620827238222826,28728,11.141669252676774,PRUNED
15,0.45664583333333336,2026-08-14 04:33:37.177571,2026-08-14 04:35:09.281598,0 days 00:01:32.104027,0.6633309258570856,0.18128637802040165,16195,8.299452665674142,PRUNED
16,0.30374999999999996,2026-08-14 04:35:09.281598,2026-08-14 04:38:34.688686,0 days 00:03:25.407088,0.7344471097655301,0.22061548580256735,41621,11.524950444432521,COMPLETE
17,0.0,2026-08-14 04:38:34.688686,2026-08-14 04:39:30.572254,0 days 00:00:55.883568,0.5021944129278998,0.10883327589944994,49105,5.758793484395982,PRUNED
18,0.15339583333333331,2026-08-14 04:39:30.572254,2026-08-14 04:44:23.171755,0 days 00:04:52.599501,0.6102029614772454,0.2687109070645778,24177,10.353329582883779,COMPLETE
19,0.4330347222222222,2026-08-14 04:44:23.171755,2026-08-14 04:49:22.751218,0 days 00:04:59.579463,0.8758471710590355,0.23572101360922618,54659,12.34210834409106,COMPLETE
20,0.6068055555555556,2026-08-14 04:49:22.751218,2026-08-14 04:53:15.244231,0 days 00:03:52.493013,0.5458149629818857,0.18055702936104678,33800,8.17135642970684,COMPLETE
21,0.45425000000000004,2026-08-14 04:53:15.244231,2026-08-14 04:56:51.688894,0 days 00:03:36.444663,0.552960164694005,0.18104109566274681,32860,8.303270516868242,COMPLETE
22,0.44943055555555556,2026-08-14 04:56:51.688894,2026-08-14 05:01:21.443166,0 days 00:04:29.754272,0.5135322047985497,0.16647736199858457,36264,9.005158800904358,COMPLETE
23,0.0,2026-08-14 05:01:21.443166,2026-08-14 05:02:44.389426,0 days 00:01:22.946260,0.6283506605008173,0.22281754415889898,45161,7.742304490281594,PRUNED
24,0.43883333333333335,2026-08-14 05:02:44.389426,2026-08-14 05:04:19.025284,0 days 00:01:34.635858,0.7009266541231237,0.13853790005486097,30161,6.31439330441269,PRUNED
25,0.4520208333333333,2026-08-14 05:04:19.025284,2026-08-14 05:05:43.836167,0 days 00:01:24.810883,0.5989484092756375,0.12181964733052703,22351,7.737804992833899,PRUNED
26,0.45189583333333333,2026-08-14 05:05:43.836167,2026-08-14 05:07:06.119166,0 days 00:01:22.282999,0.6484547179980932,0.19853928905901955,36489,10.506161749619524,PRUNED
27,0.45487500000000003,2026-08-14 05:07:06.119166,2026-08-14 05:08:06.354813,0 days 00:01:00.235647,0.7420437178658619,0.1778331936066075,40126,9.208471559603748,PRUNED
28,0.4185625,2026-08-14 05:08:06.354813,2026-08-14 05:09:22.377819,0 days 00:01:16.023006,0.4782633184523233,0.24824811553905873,46145,9.752307819171428,PRUNED
29,0.1536597222222222,2026-08-14 05:09:22.377819,2026-08-14 05:12:33.488667,0 days 00:03:11.110848,0.7881233342717514,0.13709835563530134,32789,13.14927630958746,COMPLETE
30,0.45422222222222225,2026-08-14 05:12:33.488667,2026-08-14 05:17:11.656100,0 days 00:04:38.167433,0.8400973495310871,0.22307424889956123,53464,7.306012317333173,COMPLETE
31,0.0,2026-08-14 05:17:11.656100,2026-08-14 05:17:48.572546,0 days 00:00:36.916446,0.46125818369267946,0.20940715254908113,59202,5.359140961713137,PRUNED
32,0.0,2026-08-14 05:17:48.573052,2026-08-14 05:19:12.482039,0 days 00:01:23.908987,0.5396893014658991,0.20926072812900934,56253,4.448323067834522,PRUNED
33,0.4534166666666667,2026-08-14 05:19:12.482039,2026-08-14 05:19:55.104849,0 days 00:00:42.622810,0.4814197575995842,0.23490372703536852,57243,5.499200606656217,PRUNED
34,0.7420208333333335,2026-08-14 05:19:55.104849,2026-08-14 05:24:22.207699,0 days 00:04:27.102850,0.4065284728691986,0.2667401023329341,52240,4.704964836944574,COMPLETE
35,0.4540416666666666,2026-08-14 05:24:22.207699,2026-08-14 05:25:15.801830,0 days 00:00:53.594131,0.4300034523406962,0.2746263341675252,51881,6.044157846366776,PRUNED
36,0.6059930555555556,2026-08-14 05:25:15.801830,2026-08-14 05:29:12.139934,0 days 00:03:56.338104,0.40837646388002924,0.2997275337604591,47906,10.832651817746102,COMPLETE
37,0.0,2026-08-14 05:29:12.139934,2026-08-14 05:29:53.566856,0 days 00:00:41.426922,0.7194829032789456,0.25885355447563824,43339,8.73557924151156,PRUNED
38,0.0,2026-08-14 05:29:53.566856,2026-08-14 05:30:25.244183,0 days 00:00:31.677327,0.4462921818565088,0.2865513027580671,39150,4.754323332607567,PRUNED
39,0.4567847222222223,2026-08-14 05:30:25.244183,2026-08-14 05:33:49.914420,0 days 00:03:24.670237,0.7682325463177689,0.2541356820782473,51694,9.542389382721044,COMPLETE
40,0.0,2026-08-14 05:33:49.914420,2026-08-14 05:35:09.932256,0 days 00:01:20.017836,0.6389367201507519,0.18964244909214173,47635,6.873691408375066,PRUNED
41,0.5949722222222222,2026-08-14 05:35:09.932256,2026-08-14 05:38:58.789496,0 days 00:03:48.857240,0.4009156559798375,0.28672899369658095,51848,11.210932667910535,COMPLETE
42,0.4511875,2026-08-14 05:38:58.789496,2026-08-14 05:42:59.677779,0 days 00:04:00.888283,0.4238976286416815,0.26889019056779834,54965,10.799635750641267,COMPLETE
43,0.30980555555555556,2026-08-14 05:42:59.677779,2026-08-14 05:47:04.088074,0 days 00:04:04.410295,0.5088317130175207,0.29880510712326414,48654,4.054603098919162,COMPLETE
44,0.4590486111111111,2026-08-14 05:47:04.089314,2026-08-14 05:51:38.118198,0 days 00:04:34.028884,0.4464962742143773,0.28021924235615353,44569,9.85627662987854,COMPLETE
45,0.6064861111111112,2026-08-14 05:51:38.118198,2026-08-14 05:54:17.932396,0 days 00:02:39.814198,0.40060663999346374,0.24629541930314938,40985,8.079385208224071,COMPLETE
46,0.44825,2026-08-14 05:54:17.932396,2026-08-14 05:55:43.756770,0 days 00:01:25.824374,0.5560854458227789,0.2376593908083018,37515,8.288238312236807,PRUNED
47,0.0,2026-08-14 05:55:43.756770,2026-08-14 05:57:07.656621,0 days 00:01:23.899851,0.6698547961266219,0.22149230052403251,40951,7.969951327702093,PRUNED
48,0.453,2026-08-14 05:57:07.656621,2026-08-14 05:57:58.103194,0 days 00:00:50.446573,0.5954880438960942,0.24464588138651355,31395,8.822982931590644,PRUNED
49,0.45189583333333333,2026-08-14 05:57:58.103194,2026-08-14 05:58:45.880073,0 days 00:00:47.776879,0.827995865487537,0.2581693614143829,34611,9.339881173487957,PRUNED
