number,value,datetime_start,datetime_complete,duration,params_grrt_corridor_sample,params_grrt_goal_bias,params_grrt_max_iters,params_grrt_step_m,state
12,0.44884722222222223,2026-08-14 11:58:26.347927,2026-08-14 12:01:13.035486,0 days 00:02:46.687559,0.5177473150616743,0.1270898290273237,59055,11.753010611324967,COMPLETE
13,0.5995416666666666,2026-08-14 12:01:13.035486,2026-08-14 12:04:43.045194,0 days 00:03:30.009708,0.546685036463334,0.13789168215765435,49337,6.760979054991029,COMPLETE
14,0.7476041666666666,2026-08-14 12:04:43.045194,2026-08-14 12:07:47.929182,0 days 00:03:04.883988,0.6252109153802254,0.09620827238222826,30386,11.462672969227006,COMPLETE
15,0.15636111111111112,2026-08-14 12:07:47.929182,2026-08-14 12:10:32.544455,0 days 00:02:44.615273,0.49981220763441375,0.16907831665879516,50455,6.675311096404422,COMPLETE
16,0.0,2026-08-14 12:10:32.544455,2026-08-14 12:11:27.555104,0 days 00:00:55.010649,0.5686643835723916,0.09885504253450206,59393,4.21058722837725,PRUNED
17,0.45021527777777776,2026-08-14 12:11:27.555104,2026-08-14 12:14:21.461812,0 days 00:02:53.906708,0.47386158521600796,0.17619062524916204,34404,11.853313767641664,COMPLETE
18,0.4624375,2026-08-14 12:14:21.461812,2026-08-14 12:15:04.772218,0 days 00:00:43.310406,0.6962271138936605,0.10532850211914051,48089,7.608032628092536,PRUNED
19,0.7602152777777778,2026-08-14 12:15:04.772218,2026-08-14 12:18:07.303599,0 days 00:03:02.531381,0.576528499533841,0.053607905326183966,52990,5.7052220234216415,COMPLETE
20,0.30568750000000006,2026-08-14 12:18:07.303599,2026-08-14 12:21:43.511581,0 days 00:03:36.207982,0.6827361528560157,0.057464385960546524,55000,5.697335591852988,COMPLETE
21,0.0,2026-08-14 12:21:43.511581,2026-08-14 12:22:20.419257,0 days 00:00:36.907676,0.5892988982562068,0.0802986608923292,52967,5.339833947518236,PRUNED
22,0.5994444444444444,2026-08-14 12:22:20.419257,2026-08-14 12:24:56.751475,0 days 00:02:36.332218,0.5232808684836633,0.15959454591214584,44298,4.00253785754225,COMPLETE
23,0.4477361111111111,2026-08-14 12:24:56.751475,2026-08-14 12:29:23.939936,0 days 00:04:27.188461,0.4437948033911866,0.11609698330810873,52210,5.20106795405985,COMPLETE
24,0.6021319444444445,2026-08-14 12:29:23.939936,2026-08-14 12:32:13.453249,0 days 00:02:49.513313,0.5909480757551729,0.07976342936983748,46101,7.289115988611792,COMPLETE
25,0.4632291666666667,2026-08-14 12:32:13.453249,2026-08-14 12:32:58.694584,0 days 00:00:45.241335,0.49425636236950365,0.15293195354159425,56798,5.961464128292419,PRUNED
26,0.0,2026-08-14 12:32:58.694584,2026-08-14 12:33:49.511616,0 days 00:00:50.817032,0.4044482291639335,0.1819142513644172,41390,10.872887883695292,PRUNED
27,0.454625,2026-08-14 12:33:49.511616,2026-08-14 12:35:12.313493,0 days 00:01:22.801877,0.6673787840032706,0.12812836311462,47359,12.806486867748031,PRUNED
