number,value,datetime_start,datetime_complete,duration,params_horizon,params_lookahead_distance,params_margin,params_w_obstacle,params_w_smooth,params_w_social,state
25,0.4510416666666667,2026-08-14 02:22:41.235813,2026-08-14 02:23:02.011164,0 days 00:00:20.775351,14,5.0714900496167505,0.181522721043735,5.748645921647112,4.735616477651272,1.0413014752036311,PRUNED
26,0.45574305555555555,2026-08-14 02:23:02.011164,2026-08-14 02:24:10.874713,0 days 00:01:08.863549,18,8.112175215285735,0.12427024370254,3.796266423999533,6.372585009890336,0.427552427690343,COMPLETE
27,0.6045208333333334,2026-08-14 02:24:10.874713,2026-08-14 02:25:36.149390,0 days 00:01:25.274677,18,8.40950533397329,0.12347836254235806,3.715318389391618,3.009051255966738,0.3534261189254206,COMPLETE
28,0.4500416666666667,2026-08-14 02:25:36.149390,2026-08-14 02:25:58.513846,0 days 00:00:22.364456,17,9.647626915882057,0.1070586338594018,6.1261635601766296,2.619773428731022,0.27401737146699384,PRUNED
29,0.0,2026-08-14 02:25:58.513846,2026-08-14 02:26:05.990532,0 days 00:00:07.476686,14,11.490929551686493,0.12973512559215725,3.4908897522155224,2.6009299113175524,0.45043427854202667,PRUNED
30,0.0,2026-08-14 02:26:05.990532,2026-08-14 02:26:25.606908,0 days 00:00:19.616376,18,13.007582007723318,0.14612305700249692,2.90806119606886,3.8910898857980762,0.6263129221450072,PRUNED
31,0.45555555555555555,2026-08-14 02:26:25.606908,2026-08-14 02:27:35.028366,0 days 00:01:09.421458,18,8.289604873781114,0.11591244046183949,4.423441109708457,5.252816124962128,0.3564470842407324,COMPLETE
32,0.4515,2026-08-14 02:27:35.028366,2026-08-14 02:27:57.833370,0 days 00:00:22.805004,17,7.899200514381233,0.1316348224636937,7.830908643207808,6.47407229125723,0.46375516403193634,PRUNED
33,0.0,2026-08-14 02:27:57.833370,2026-08-14 02:28:12.195773,0 days 00:00:14.362403,18,11.097804259747917,0.1522497465463743,3.466468547920881,2.879379936078888,0.256786020782311,PRUNED
34,0.4556736111111111,2026-08-14 02:28:12.195773,2026-08-14 02:29:12.890443,0 days 00:01:00.694670,15,14.584414117911033,0.08675904291556681,3.839172810473842,5.422931150243609,0.17008637126161175,COMPLETE
35,0.451,2026-08-14 02:29:12.890443,2026-08-14 02:29:35.229583,0 days 00:00:22.339140,16,12.824774931523287,0.11536033927120785,5.463068755688992,3.9556824614102633,0.42138049330131383,PRUNED
36,0.6056111111111111,2026-08-14 02:29:35.229583,2026-08-14 02:30:46.133206,0 days 00:01:10.903623,17,9.22527855645172,0.14005467387915127,1.8806429242006606,6.961032324731331,0.5601991894397885,COMPLETE
37,0.0,2026-08-14 02:30:46.133206,2026-08-14 02:30:53.760221,0 days 00:00:07.627015,14,9.477004894400048,0.13940723941650754,2.0087268394242117,10.5704172930275,0.5723432064820225,PRUNED
38,0.0,2026-08-14 02:30:53.760221,2026-08-14 02:31:01.034957,0 days 00:00:07.274736,12,12.255393629017327,0.1381046491970799,2.6719354918829925,4.973087964482339,0.6990538793433552,PRUNED
39,0.0,2026-08-14 02:31:01.034957,2026-08-14 02:31:08.903870,0 days 00:00:07.868913,17,14.147782090248638,0.09600929080534647,1.8674809927664255,13.032076262777828,0.8159288635295154,PRUNED
40,0.0,2026-08-14 02:31:08.903870,2026-08-14 02:31:26.101083,0 days 00:00:17.197213,13,6.005904320091288,0.1554396353698045,6.368477254364626,7.462993945096081,0.2989738628708743,PRUNED
41,0.4577638888888889,2026-08-14 02:31:26.101083,2026-08-14 02:32:50.811156,0 days 00:01:24.710073,18,8.61991745207667,0.11998039019805865,2.7067252907090262,6.170011513904425,0.39639174695180873,COMPLETE
42,0.0,2026-08-14 02:32:50.811156,2026-08-14 02:33:04.491952,0 days 00:00:13.680796,16,8.835285014073754,0.11250098228480723,2.543310873005264,5.979692410467632,0.3466294645301801,PRUNED
43,0.45129166666666665,2026-08-14 02:33:04.491952,2026-08-14 02:33:27.093835,0 days 00:00:22.601883,17,7.209441956337597,0.12623535256355853,1.664221331931082,4.373973824118064,0.5040780748501038,PRUNED
44,0.45555555555555555,2026-08-14 02:33:27.093835,2026-08-14 02:34:27.629804,0 days 00:01:00.535969,15,8.73626126326829,0.0975116366027381,2.166681273588498,2.155824083026364,1.526365420061547,COMPLETE
45,0.3088680555555556,2026-08-14 02:34:27.629804,2026-08-14 02:35:36.118350,0 days 00:01:08.488546,18,9.748599665601198,0.13349001610513778,3.007630200775977,6.86650310732388,0.5444239969716018,COMPLETE
46,0.0,2026-08-14 02:35:36.118350,2026-08-14 02:35:48.926285,0 days 00:00:12.807935,16,15.946855392171036,0.18848382566386052,2.6492034923772767,7.775896220016178,0.23780880946324218,PRUNED
47,0.45108333333333334,2026-08-14 02:35:48.926789,2026-08-14 02:36:11.389486,0 days 00:00:22.462697,17,7.397400391888397,0.14225344375864138,1.505005961006764,5.534717577093794,0.3812042926822711,PRUNED
48,0.0,2026-08-14 02:36:11.389486,2026-08-14 02:36:23.848646,0 days 00:00:12.459160,15,9.305415882739418,0.17481061827780442,1.9306871852642096,9.808846397171896,1.9900750899665476,PRUNED
49,0.0,2026-08-14 02:36:23.848646,2026-08-14 02:36:36.841755,0 days 00:00:12.993109,18,15.133306222731521,0.10836472091529446,1.219057881297664,3.166975043819536,0.31680185259966875,PRUNED
