number,value,datetime_start,datetime_complete,duration,params_horizon,params_lookahead_distance,params_margin,params_w_obstacle,params_w_smooth,params_w_social,state
17,0.45690625,2026-08-14 01:47:05.134681,2026-08-14 01:47:59.765883,0 days 00:00:54.631202,17,8.157439238390985,0.14573771237546532,1.5086489705121302,8.887086974029945,1.8633336793176898,PRUNED
18,0.0,2026-08-14 01:47:59.765883,2026-08-14 01:48:11.999374,0 days 00:00:12.233491,15,13.85653752557519,0.18174310860732157,0.5082815731390116,14.278025968715445,1.2887156754776128,PRUNED
19,0.0,2026-08-14 01:48:11.999374,2026-08-14 01:48:19.192342,0 days 00:00:07.192968,12,10.39724183975762,0.14749146882399555,0.8530134172424212,3.4015259403570712,0.6310981373580783,PRUNED
20,0.0,2026-08-14 01:48:19.192342,2026-08-14 01:48:36.473863,0 days 00:00:17.281521,14,5.307080556898604,0.12214962328329287,1.291471906053592,4.499755935464773,0.8804076235947098,PRUNED
21,0.4555902777777778,2026-08-14 01:48:36.473863,2026-08-14 01:49:42.917812,0 days 00:01:06.443949,16,6.418664022571424,0.16170850374594484,2.1972760623509067,7.852615019298757,1.4012253333837792,COMPLETE
22,0.4519166666666667,2026-08-14 01:49:42.917812,2026-08-14 01:50:05.518526,0 days 00:00:22.600714,17,6.637853124668111,0.17733379039010705,2.242370541950445,8.524279215428479,1.334292542577155,PRUNED
23,0.4558194444444444,2026-08-14 01:50:05.518526,2026-08-14 01:51:06.455975,0 days 00:01:00.937449,16,5.147597185961589,0.1571257353132423,1.981088639820943,5.8232387452134615,1.0244339550103914,COMPLETE
24,0.45129166666666665,2026-08-14 01:51:06.455975,2026-08-14 01:51:28.890464,0 days 00:00:22.434489,17,7.50079792057902,0.15591665784820663,0.8851594194729935,5.82136419366571,0.9483523969767192,PRUNED
25,0.4510416666666667,2026-08-14 01:51:28.890464,2026-08-14 01:51:49.798564,0 days 00:00:20.908100,14,5.0714900496167505,0.181522721043735,5.748645921647112,4.735616477651272,1.0413014752036311,PRUNED
26,0.45574305555555555,2026-08-14 01:51:49.798564,2026-08-14 01:52:58.253221,0 days 00:01:08.454657,18,8.112175215285735,0.12427024370254,3.796266423999533,6.372585009890336,0.427552427690343,COMPLETE
27,0.6045208333333334,2026-08-14 01:52:58.253221,2026-08-14 01:54:23.682196,0 days 00:01:25.428975,18,8.40950533397329,0.12347836254235806,3.715318389391618,3.009051255966738,0.3534261189254206,COMPLETE
28,0.4500416666666667,2026-08-14 01:54:23.682196,2026-08-14 01:54:45.914886,0 days 00:00:22.232690,17,9.647626915882057,0.1070586338594018,6.1261635601766296,2.619773428731022,0.27401737146699384,PRUNED
29,0.0,2026-08-14 01:54:45.914886,2026-08-14 01:54:53.372608,0 days 00:00:07.457722,14,11.490929551686493,0.12973512559215725,3.4908897522155224,2.6009299113175524,0.45043427854202667,PRUNED
30,0.0,2026-08-14 01:54:53.372608,2026-08-14 01:55:12.867811,0 days 00:00:19.495203,18,13.007582007723318,0.14612305700249692,2.90806119606886,3.8910898857980762,0.6263129221450072,PRUNED
31,0.45555555555555555,2026-08-14 01:55:12.867811,2026-08-14 01:56:20.830659,0 days 00:01:07.962848,18,8.289604873781114,0.11591244046183949,4.423441109708457,5.252816124962128,0.3564470842407324,COMPLETE
32,0.4515,2026-08-14 01:56:20.830659,2026-08-14 01:56:43.315082,0 days 00:00:22.484423,17,7.899200514381233,0.1316348224636937,7.830908643207808,6.47407229125723,0.46375516403193634,PRUNED
33,0.0,2026-08-14 01:56:43.315082,2026-08-14 01:56:57.719990,0 days 00:00:14.404908,18,11.097804259747917,0.1522497465463743,3.466468547920881,2.879379936078888,0.256786020782311,PRUNED
34,0.4556736111111111,2026-08-14 01:56:57.719990,2026-08-14 01:57:58.303340,0 days 00:01:00.583350,15,14.584414117911033,0.08675904291556681,3.839172810473842,5.422931150243609,0.17008637126161175,COMPLETE
35,0.451,2026-08-14 01:57:58.303340,2026-08-14 01:58:20.387899,0 days 00:00:22.084559,16,12.824774931523287,0.11536033927120785,5.463068755688992,3.9556824614102633,0.42138049330131383,PRUNED
36,0.6056111111111111,2026-08-14 01:58:20.387899,2026-08-14 01:59:31.382691,0 days 00:01:10.994792,17,9.22527855645172,0.14005467387915127,1.8806429242006606,6.961032324731331,0.5601991894397885,COMPLETE
37,0.0,2026-08-14 01:59:31.382691,2026-08-14 01:59:38.894121,0 days 00:00:07.511430,14,9.477004894400048,0.13940723941650754,2.0087268394242117,10.5704172930275,0.5723432064820225,PRUNED
38,0.0,2026-08-14 01:59:38.894121,2026-08-14 01:59:46.129153,0 days 00:00:07.235032,12,12.255393629017327,0.1381046491970799,2.6719354918829925,4.973087964482339,0.6990538793433552,PRUNED
39,0.0,2026-08-14 01:59:46.129153,2026-08-14 01:59:53.943509,0 days 00:00:07.814356,17,14.147782090248638,0.09600929080534647,1.8674809927664255,13.032076262777828,0.8159288635295154,PRUNED
40,0.0,2026-08-14 01:59:53.943509,2026-08-14 02:00:10.912787,0 days 00:00:16.969278,13,6.005904320091288,0.1554396353698045,6.368477254364626,7.462993945096081,0.2989738628708743,PRUNED
41,0.4577638888888889,2026-08-14 02:00:10.912787,2026-08-14 02:01:35.180188,0 days 00:01:24.267401,18,8.61991745207667,0.11998039019805865,2.7067252907090262,6.170011513904425,0.39639174695180873,COMPLETE
42,0.0,2026-08-14 02:01:35.180188,2026-08-14 02:01:48.855680,0 days 00:00:13.675492,16,8.835285014073754,0.11250098228480723,2.543310873005264,5.979692410467632,0.3466294645301801,PRUNED
43,0.45129166666666665,2026-08-14 02:01:48.855680,2026-08-14 02:02:11.008472,0 days 00:00:22.152792,17,7.209441956337597,0.12623535256355853,1.664221331931082,4.373973824118064,0.5040780748501038,PRUNED
44,0.45555555555555555,2026-08-14 02:02:11.008472,2026-08-14 02:03:11.027165,0 days 00:01:00.018693,15,8.73626126326829,0.0975116366027381,2.166681273588498,2.155824083026364,1.526365420061547,COMPLETE
45,0.3088680555555556,2026-08-14 02:03:11.027165,2026-08-14 02:04:19.660772,0 days 00:01:08.633607,18,9.748599665601198,0.13349001610513778,3.007630200775977,6.86650310732388,0.5444239969716018,COMPLETE
46,0.0,2026-08-14 02:04:19.660772,2026-08-14 02:04:32.244602,0 days 00:00:12.583830,16,15.946855392171036,0.18848382566386052,2.6492034923772767,7.775896220016178,0.23780880946324218,PRUNED
47,0.45108333333333334,2026-08-14 02:04:32.244602,2026-08-14 02:04:54.473063,0 days 00:00:22.228461,17,7.397400391888397,0.14225344375864138,1.505005961006764,5.534717577093794,0.3812042926822711,PRUNED
48,0.0,2026-08-14 02:04:54.473063,2026-08-14 02:05:06.727218,0 days 00:00:12.254155,15,9.305415882739418,0.17481061827780442,1.9306871852642096,9.808846397171896,1.9900750899665476,PRUNED
49,0.0,2026-08-14 02:05:06.727218,2026-08-14 02:05:19.659600,0 days 00:00:12.932382,18,15.133306222731521,0.10836472091529446,1.219057881297664,3.166975043819536,0.31680185259966875,PRUNED
