number,value,datetime_start,datetime_complete,duration,params_centerline_cost_gain,params_goal_cost_gain,params_obstacle_cost_gain,params_predict_time,params_social_distance,params_speed_cost_gain,state
30,0.0,2026-08-13 18:01:59.278208,2026-08-13 18:02:41.117517,0 days 00:00:41.839309,0.11688584972379659,0.7046463976491746,0.7999194603154451,2.2235690110169672,1.293870569031825,1.3950661416033105,PRUNED
31,0.6078194444444445,2026-08-13 18:02:41.117517,2026-08-13 18:03:54.576427,0 days 00:01:13.458910,0.3815038601081417,1.7322483666614568,0.4192088871108656,1.2051276734870895,1.2264303167745296,1.5341597901269104,COMPLETE
32,0.4597083333333334,2026-08-13 18:03:54.576427,2026-08-13 18:05:01.233103,0 days 00:01:06.656676,0.3306191818678225,1.631040919515727,0.551064991269154,1.5984269490319352,1.2018997774447682,1.9803603084221508,COMPLETE
33,0.4598819444444444,2026-08-13 18:05:01.233103,2026-08-13 18:06:06.421897,0 days 00:01:05.188794,0.2618819659229698,2.094422101564211,0.3686402968400309,1.2197605010948303,1.4119515826041757,0.9707498287306984,COMPLETE
34,0.0,2026-08-13 18:06:06.421897,2026-08-13 18:06:22.817905,0 days 00:00:16.396008,0.18114752796823816,1.5647158570286843,0.4816203881015186,2.2273078389837577,1.088507980557772,1.4654670087891521,PRUNED
35,0.44729166666666664,2026-08-13 18:06:22.817905,2026-08-13 18:06:40.883060,0 days 00:00:18.065155,0.23792684266137532,2.6980303919641755,0.25522597874795916,2.8376351644634563,1.3093482427760246,0.6070471036867476,PRUNED
36,0.0,2026-08-13 18:06:40.883060,2026-08-13 18:06:55.799141,0 days 00:00:14.916081,0.37842607421488944,0.9825975996408423,0.2972355577586262,3.4038567557530888,1.270605841619942,0.47399125886854004,PRUNED
37,0.4596388888888889,2026-08-13 18:06:55.799141,2026-08-13 18:07:57.502278,0 days 00:01:01.703137,0.30430139886531277,3.8923331515309068,0.5868605213995204,1.5021406791124658,0.9545887267518223,1.6629916896670134,COMPLETE
38,0.0,2026-08-13 18:07:57.502278,2026-08-13 18:08:15.888870,0 days 00:00:18.386592,0.1784004242942572,1.2810052821264588,2.469369026531916,2.5985346200968267,1.0641823765800198,1.24264598838194,PRUNED
39,0.0,2026-08-13 18:08:15.888870,2026-08-13 18:08:31.951490,0 days 00:00:16.062620,0.48223188783815657,1.9819377230735686,0.23776117742262606,3.0653241323297746,1.1871665586387394,0.32987952434923146,PRUNED
40,0.6059861111111111,2026-08-13 18:08:31.951490,2026-08-13 18:09:46.304422,0 days 00:01:14.352932,0.03265697617456137,2.308860537592914,0.43232214697946136,3.715083304432585,1.3384680330631846,0.1328162935922441,COMPLETE
41,0.0,2026-08-13 18:09:46.304422,2026-08-13 18:10:01.213468,0 days 00:00:14.909046,0.3904013093523662,1.6619830346941524,0.37206154052377133,1.3028757206369437,1.2347109565787995,1.6409811726319508,PRUNED
42,0.0,2026-08-13 18:10:01.213468,2026-08-13 18:10:16.501945,0 days 00:00:15.288477,0.34545554920048055,1.837570970920263,0.547086156486395,1.4083720381657066,1.249882223277218,1.4000819369328485,PRUNED
43,0.4475625,2026-08-13 18:10:16.501945,2026-08-13 18:10:34.468588,0 days 00:00:17.966643,0.42154566929956416,1.4747614465668257,0.4266621076373193,1.8439944562323534,0.7359117388903327,0.69866636507441,PRUNED
44,0.46025,2026-08-13 18:10:34.468588,2026-08-13 18:11:39.759488,0 days 00:01:05.290900,0.27389225049677074,1.8111321698391951,0.3718954755830793,1.3946470595056992,1.4180614311743214,0.8942205019244993,COMPLETE
45,0.0,2026-08-13 18:11:39.759488,2026-08-13 18:11:54.021555,0 days 00:00:14.262067,0.2114147810618813,2.834908597867902,0.23749043590075825,1.751771100576168,1.1113964554676357,1.5209503545880971,PRUNED
46,0.7582430555555556,2026-08-13 18:11:54.021555,2026-08-13 18:13:10.403990,0 days 00:01:16.382435,0.24395439645616776,1.1246094704637979,0.30256386474655944,1.6824630878510383,0.42822264478524974,1.986253662428038,COMPLETE
47,0.6080347222222223,2026-08-13 18:13:10.403990,2026-08-13 18:14:32.664377,0 days 00:01:22.260387,0.0964207790453226,1.0566292249818847,0.29380621464853823,1.6338291859772873,0.42440759618517154,1.835804557137135,COMPLETE
48,0.0,2026-08-13 18:14:32.664377,2026-08-13 18:14:48.018151,0 days 00:00:15.353774,0.06311202371254142,1.0800443048199206,0.29808484651630035,2.066326614206119,0.43334011072890544,1.8153397850724116,PRUNED
49,0.0,2026-08-13 18:14:48.018151,2026-08-13 18:15:57.188747,0 days 00:01:09.170596,0.0872605977862004,0.7572536082652125,0.2808707938775207,2.286851821614291,0.42245895588330107,1.9439062918142596,PRUNED
