number,value,datetime_start,datetime_complete,duration,params_grrt_corridor_sample,params_grrt_goal_bias,params_grrt_max_iters,params_grrt_step_m,state
13,0.0,2026-08-14 14:15:28.861575,2026-08-14 14:16:11.172454,0 days 00:00:42.310879,0.48044881214418533,0.15626928262835743,15053,6.36472204059883,PRUNED
14,0.1510138888888889,2026-08-14 14:16:11.172454,2026-08-14 14:18:52.520977,0 days 00:02:41.348523,0.478234293898311,0.09620827238222826,32286,6.580804612048793,COMPLETE
15,0.14957638888888888,2026-08-14 14:18:52.520977,2026-08-14 14:20:45.357058,0 days 00:01:52.836081,0.5704770745143951,0.05700011795436816,33045,6.095289409150156,COMPLETE
16,0.0,2026-08-14 14:20:45.357058,2026-08-14 14:21:14.885623,0 days 00:00:29.528565,0.49287546503597335,0.09781746180853289,59145,5.427235040957598,PRUNED
17,0.0,2026-08-14 14:21:14.885623,2026-08-14 14:21:56.323858,0 days 00:00:41.438235,0.6221562098123592,0.103693617483832,34404,7.604432449533032,PRUNED
18,0.4388125,2026-08-14 14:21:56.323858,2026-08-14 14:22:32.536154,0 days 00:00:36.212296,0.45765870208141896,0.11744867981493763,26830,7.308163839847404,PRUNED
19,0.0,2026-08-14 14:22:32.536154,2026-08-14 14:22:55.155516,0 days 00:00:22.619362,0.576528499533841,0.17560216202734397,45472,5.241212631425581,PRUNED
20,0.0,2026-08-14 14:22:55.155516,2026-08-14 14:24:17.431614,0 days 00:01:22.276098,0.6897135498694968,0.12721529020375305,58262,5.314621711721916,PRUNED
21,0.0,2026-08-14 14:24:17.431614,2026-08-14 14:24:44.606565,0 days 00:00:27.174951,0.5280651197003661,0.05713137727615545,33340,6.664194441365513,PRUNED
22,0.0,2026-08-14 14:24:44.606565,2026-08-14 14:25:23.834166,0 days 00:00:39.227601,0.5862752466263537,0.08250996576373404,27537,5.588470827468552,PRUNED
23,0.0,2026-08-14 14:25:23.834166,2026-08-14 14:25:49.360668,0 days 00:00:25.526502,0.5206947648715641,0.07856594019332502,36538,7.313514956590016,PRUNED
24,0.40952083333333333,2026-08-14 14:25:49.360668,2026-08-14 14:26:54.288910,0 days 00:01:04.928242,0.45563927892176054,0.0778346781026974,22801,4.628048128854716,PRUNED
25,0.0,2026-08-14 14:26:54.288910,2026-08-14 14:27:56.981158,0 days 00:01:02.692248,0.6635916413163324,0.05390626439637135,30520,6.248317779793081,PRUNED
26,0.29511805555555554,2026-08-14 14:27:56.981158,2026-08-14 14:30:27.067847,0 days 00:02:30.086689,0.568949045279233,0.1277858218736968,39561,5.886978117067821,COMPLETE
27,0.29740277777777774,2026-08-14 14:30:27.067847,2026-08-14 14:32:56.482365,0 days 00:02:29.414518,0.5137700329512463,0.13467536414714631,41736,4.820255144838532,COMPLETE
28,0.1475,2026-08-14 14:32:56.482365,2026-08-14 14:36:29.757872,0 days 00:03:33.275507,0.515511289858742,0.13316709158304274,42628,4.735246476197105,COMPLETE
29,0.14811805555555554,2026-08-14 14:36:29.757872,2026-08-14 14:40:20.187948,0 days 00:03:50.430076,0.7418169676346693,0.17492622992353557,40026,4.01978001872702,COMPLETE
30,0.0,2026-08-14 14:40:20.187948,2026-08-14 14:41:11.449338,0 days 00:00:51.261390,0.5583607021719046,0.2235044187682752,49460,4.853852660753795,PRUNED
31,0.0,2026-08-14 14:41:11.449338,2026-08-14 14:41:36.135817,0 days 00:00:24.686479,0.46106783920521455,0.10216221748220698,37961,6.978878830243712,PRUNED
32,0.44066666666666665,2026-08-14 14:41:36.135817,2026-08-14 14:42:14.087980,0 days 00:00:37.952163,0.4961420930221375,0.1705330371244163,42322,5.812120126494753,PRUNED
33,0.0,2026-08-14 14:42:14.087980,2026-08-14 14:42:34.765409,0 days 00:00:20.677429,0.6116708496556456,0.13279413052148262,55109,8.183253185706109,PRUNED
34,0.42952083333333335,2026-08-14 14:42:34.765409,2026-08-14 14:43:30.209905,0 days 00:00:55.444496,0.4365963067708577,0.11568327899793102,45399,5.816901456774538,PRUNED
35,0.0,2026-08-14 14:43:30.209905,2026-08-14 14:43:50.867516,0 days 00:00:20.657611,0.5043665389135626,0.24290609430523408,36244,4.842319801249291,PRUNED
36,0.4423958333333333,2026-08-14 14:43:50.867516,2026-08-14 14:44:23.289541,0 days 00:00:32.422025,0.5969307957876273,0.15022833348009218,39935,7.734859768351718,PRUNED
