number,value,datetime_start,datetime_complete,duration,params_goal_connect_dist,params_goal_sample_rate,params_max_iter,params_replan_interval,params_step_size,state
12,0.15769444444444444,2026-08-13 22:20:00.753820,2026-08-13 22:20:36.000146,0 days 00:00:35.246326,3.5677247848559723,0.1497824874095765,731,2.413912922633314,2.053700309415248,COMPLETE
13,0.3114236111111111,2026-08-13 22:20:36.000146,2026-08-13 22:21:15.078932,0 days 00:00:39.078786,4.872888573707202,0.3908781562821803,1266,1.0639833726332175,2.2985467241913597,COMPLETE
14,0.3065625,2026-08-13 22:21:15.078932,2026-08-13 22:22:12.719255,0 days 00:00:57.640323,4.319750911744878,0.053698510696569654,1220,1.9688560882647725,1.017002464941909,COMPLETE
15,0.4605694444444444,2026-08-13 22:22:12.719255,2026-08-13 22:23:10.058459,0 days 00:00:57.339204,5.290438784661105,0.16433666877620084,785,1.0268958743663914,1.8429021754708421,COMPLETE
16,0.46049999999999996,2026-08-13 22:23:10.058459,2026-08-13 22:24:10.931242,0 days 00:01:00.872783,3.412139800943705,0.33500084340949976,591,2.6093736722046987,2.6299438786795513,COMPLETE
17,0.3070486111111111,2026-08-13 22:24:10.931242,2026-08-13 22:25:03.806459,0 days 00:00:52.875217,2.87020424883245,0.28256008354243617,1486,1.8686306274372584,1.4984167786701033,COMPLETE
18,0.46049999999999996,2026-08-13 22:25:03.806459,2026-08-13 22:26:04.752197,0 days 00:01:00.945738,4.433201165182332,0.1864180597109605,887,0.5265018713546707,2.879411966593284,COMPLETE
19,0.3114236111111111,2026-08-13 22:26:04.752197,2026-08-13 22:26:45.365487,0 days 00:00:40.613290,5.322282326941342,0.24115898588192222,1308,1.0972461865199497,1.6256682687836457,COMPLETE
20,0.31149305555555556,2026-08-13 22:26:45.365487,2026-08-13 22:27:33.214191,0 days 00:00:47.848704,3.8248146847708515,0.36182695959977607,1198,2.6860019433098947,2.1262390783784766,COMPLETE
21,0.46049999999999996,2026-08-13 22:27:33.214191,2026-08-13 22:28:30.322934,0 days 00:00:57.108743,5.324594340316477,0.1532843900366605,768,0.9221012606920733,1.8286895569554527,COMPLETE
22,0.46036111111111105,2026-08-13 22:28:30.322934,2026-08-13 22:29:27.562282,0 days 00:00:57.239348,4.85401636483725,0.09019197433624765,668,0.5517969419153127,1.3291084193229312,COMPLETE
23,0.4604305555555555,2026-08-13 22:29:27.562282,2026-08-13 22:30:24.912968,0 days 00:00:57.350686,5.451588087569749,0.13480239044737594,527,1.2174396857952867,1.880431513156562,COMPLETE
24,0.30670138888888887,2026-08-13 22:30:24.912968,2026-08-13 22:31:21.199893,0 days 00:00:56.286925,4.591766087945279,0.16754745312761787,873,0.8308588354840232,2.753624652797997,COMPLETE
25,0.3067708333333333,2026-08-13 22:31:21.199893,2026-08-13 22:32:17.770714,0 days 00:00:56.570821,4.947504508743528,0.10465775111110459,1094,1.7882744417175627,1.2964051504078238,COMPLETE
26,0.0,2026-08-13 22:32:17.770714,2026-08-13 22:32:24.226061,0 days 00:00:06.455347,5.504516004643005,0.05544854091977952,787,1.232597300974318,1.8008312049044333,PRUNED
27,0.46049999999999996,2026-08-13 22:32:24.226061,2026-08-13 22:33:21.214966,0 days 00:00:56.988905,3.981665094271511,0.23121833539053605,961,0.7150517898860395,2.3466658142263475,COMPLETE
28,0.46049999999999996,2026-08-13 22:33:21.214966,2026-08-13 22:34:16.836697,0 days 00:00:55.621731,5.128525820448207,0.31696580417013,414,1.0091356102973854,2.0556666929578165,COMPLETE
29,0.31149305555555556,2026-08-13 22:34:16.836697,2026-08-13 22:34:58.133433,0 days 00:00:41.296736,4.514314995807186,0.29247400671674567,915,1.6835452126994852,3.0712779435776185,COMPLETE
30,0.4606180555555555,2026-08-13 22:34:58.133433,2026-08-13 22:35:55.248207,0 days 00:00:57.114774,4.228392850663044,0.26732657154731687,1055,2.053486166794041,1.2750428453821794,COMPLETE
31,0.4607083333333333,2026-08-13 22:35:55.248207,2026-08-13 22:36:49.151989,0 days 00:00:53.903782,3.83728775717233,0.3513475268563658,1058,2.3589595159144254,1.3251221615147541,COMPLETE
32,0.46119444444444446,2026-08-13 22:36:49.151989,2026-08-13 22:37:43.482788,0 days 00:00:54.330799,3.712385382766345,0.3581202600716652,1104,2.434442323943536,1.2873366709213674,COMPLETE
33,0.4612638888888889,2026-08-13 22:37:43.482788,2026-08-13 22:38:37.338625,0 days 00:00:53.855837,3.7353830300158815,0.3522785836660277,1090,2.4639804433154904,1.2383967634335957,COMPLETE
34,0.4604305555555555,2026-08-13 22:38:37.338625,2026-08-13 22:39:31.493647,0 days 00:00:54.155022,3.0024267126301023,0.35054847616231055,1147,2.4157915672870405,1.2007705798463402,COMPLETE
35,0.4607569444444444,2026-08-13 22:39:31.493647,2026-08-13 22:40:25.576338,0 days 00:00:54.082691,3.7777306376583413,0.3622459212083725,1321,2.365493802102437,1.5211561165699803,COMPLETE
36,0.0,2026-08-13 22:40:25.576338,2026-08-13 22:40:32.083925,0 days 00:00:06.507587,5.992956021764731,0.36950475872210603,1372,2.6785471889950374,1.5783933505284402,PRUNED
37,0.0,2026-08-13 22:40:32.083925,2026-08-13 22:40:37.875575,0 days 00:00:05.791650,2.5974436293987613,0.3126366827963927,1326,2.531623368215282,1.0484963970310641,PRUNED
38,0.1574861111111111,2026-08-13 22:40:37.876574,2026-08-13 22:41:18.759560,0 days 00:00:40.882986,3.5564481566557284,0.3764424287434835,1447,2.7980923089647307,4.796248566507112,COMPLETE
39,0.0,2026-08-13 22:41:18.759560,2026-08-13 22:41:24.647029,0 days 00:00:05.887469,3.193717150173631,0.3346250780237356,1371,2.334344099849632,1.4551263771779892,PRUNED
40,0.0,2026-08-13 22:41:24.647029,2026-08-13 22:41:31.213756,0 days 00:00:06.566727,3.565510538997219,0.39694431855135026,1182,2.168886226273561,1.694082055518693,PRUNED
41,0.4608263888888889,2026-08-13 22:41:31.213756,2026-08-13 22:42:28.340229,0 days 00:00:57.126473,3.767894124190088,0.34698624842474596,1085,2.3355019113724627,1.395100400077198,COMPLETE
42,0.4607083333333333,2026-08-13 22:42:28.340229,2026-08-13 22:43:22.437280,0 days 00:00:54.097051,3.956032074529113,0.3046921779082391,1264,2.4801696157905724,1.4239429822643523,COMPLETE
43,0.4607569444444444,2026-08-13 22:43:22.437280,2026-08-13 22:44:16.485862,0 days 00:00:54.048582,3.7049682011289318,0.3427392981628821,982,2.2645524480131716,1.1125719509448873,COMPLETE
44,0.4608472222222222,2026-08-13 22:44:16.485862,2026-08-13 22:45:10.231061,0 days 00:00:53.745199,3.291635151493996,0.3748426491872332,1112,2.7941516442171017,1.6095893697190269,COMPLETE
45,0.4606388888888889,2026-08-13 22:45:10.231061,2026-08-13 22:46:04.348646,0 days 00:00:54.117585,2.6181041283163866,0.37737735496076963,1105,2.813855638335455,1.658748663890797,COMPLETE
46,0.46054861111111106,2026-08-13 22:46:04.348646,2026-08-13 22:47:01.186061,0 days 00:00:56.837415,3.3044706231730725,0.3266911797964697,1003,2.982207103781579,1.016672183086964,COMPLETE
47,0.3114236111111111,2026-08-13 22:47:01.186061,2026-08-13 22:47:39.645490,0 days 00:00:38.459429,3.1688629768550522,0.21656428515556805,1158,2.630539750443698,1.960616173925902,COMPLETE
48,0.46049999999999996,2026-08-13 22:47:39.645490,2026-08-13 22:48:33.216418,0 days 00:00:53.570928,4.128691948435084,0.38652877043349004,940,2.772814525404034,2.2220083619632693,COMPLETE
49,0.4615208333333333,2026-08-13 22:48:33.216418,2026-08-13 22:49:27.141466,0 days 00:00:53.925048,2.9199920803319346,0.2678062388539627,1230,2.5557401372635202,1.1995679794793344,COMPLETE
