number,value,datetime_start,datetime_complete,duration,params_goal_connect_dist,params_goal_sample_rate,params_grrt_corridor_sample,params_grrt_goal_bias,params_grrt_max_iters,params_grrt_step_m,params_max_iter,params_replan_interval,params_step_size,state
29,0.45658333333333334,2026-08-13 19:51:36.786242,2026-08-13 19:51:49.461940,0 days 00:00:12.675698,2.005903024587157,0.07666016625718998,0.6596507349502229,0.17832730623867,37219,7.237657543078889,311,2.2995925893859948,4.225100950365435,PRUNED
30,0.0,2026-08-13 19:51:49.461940,2026-08-13 19:51:57.219639,0 days 00:00:07.757699,2.3698308022875842,0.2903637164950561,0.5126062974361301,0.23539643019741874,25846,10.814062824469325,514,1.3065237232944125,4.740715743602176,PRUNED
31,0.0,2026-08-13 19:51:57.219639,2026-08-13 19:52:09.992173,0 days 00:00:12.772534,3.854620675007134,0.05647644593797183,0.7098970683671164,0.14873153260637284,32363,11.346404127782929,554,1.1833579204350924,1.5234310957790493,PRUNED
32,0.0,2026-08-13 19:52:09.992173,2026-08-13 19:52:18.804563,0 days 00:00:08.812390,3.59406003937462,0.08009666543190778,0.7474519443612844,0.25500995736489135,33887,9.95347579002176,674,0.9820290129391349,1.0795623846690965,PRUNED
33,0.0,2026-08-13 19:52:18.804563,2026-08-13 19:52:28.337885,0 days 00:00:09.533322,3.1042662768380302,0.06857537215857519,0.7007899624233153,0.19144834905126132,43035,13.250609151719834,497,0.674209416441748,1.6177209087761977,PRUNED
34,0.0,2026-08-13 19:52:28.337885,2026-08-13 19:52:39.606476,0 days 00:00:11.268591,2.5462317362460385,0.05003000275592317,0.6023918718183056,0.2154963589151608,18682,11.818076296473084,766,1.493605750751768,2.791179406326335,PRUNED
35,0.4630208333333333,2026-08-13 19:52:39.606476,2026-08-13 19:52:53.881493,0 days 00:00:14.275017,3.663246068525245,0.36260076561415033,0.6526212612010497,0.16354778125823627,29903,13.85188241299959,884,1.1341770503266628,1.9177306388350313,PRUNED
36,0.0,2026-08-13 19:52:53.881493,2026-08-13 19:53:05.445748,0 days 00:00:11.564255,2.280063048253682,0.20767213064662593,0.8889278092008684,0.13046141529476185,37899,10.141163069476223,570,0.9187645135765112,2.178638713026336,PRUNED
37,0.46139583333333334,2026-08-13 19:53:05.445748,2026-08-13 19:53:17.823804,0 days 00:00:12.378056,4.34915941001739,0.12090337237202922,0.8169098027373805,0.11608526290918765,25114,11.23570477671916,464,0.6701108952580028,1.5578707329495656,PRUNED
38,0.4618125,2026-08-13 19:53:17.823804,2026-08-13 19:53:30.107811,0 days 00:00:12.284007,3.0684441292069318,0.08712419875119447,0.8605986008849339,0.08214092840020307,50627,12.922391082732593,626,2.028989966051511,2.4492077196452944,PRUNED
39,0.46368750000000003,2026-08-13 19:53:30.107811,2026-08-13 19:53:45.850291,0 days 00:00:15.742480,4.947413187440145,0.14767986885944337,0.7389322112623063,0.19251236114946862,28419,9.223449916718875,869,0.9794304006593285,1.3202971662765965,PRUNED
40,0.0,2026-08-13 19:53:45.850291,2026-08-13 19:53:54.342494,0 days 00:00:08.492203,5.6223187629997,0.23367542218776977,0.5785883650516995,0.051144122913529544,39605,10.58186899432607,387,1.3932317141104287,2.969247382476773,PRUNED
41,0.0,2026-08-13 19:53:54.342494,2026-08-13 19:54:05.214092,0 days 00:00:10.871598,5.643663466477773,0.3010505044732627,0.724246300367313,0.1927918155654302,35158,11.10120534050747,1421,1.6944264727513731,2.6501598124246133,PRUNED
42,0.0,2026-08-13 19:54:05.214092,2026-08-13 19:54:12.849353,0 days 00:00:07.635261,5.100876257324379,0.2655864794508108,0.7547209518066192,0.1676744708155179,43314,11.887591380872646,1281,1.662847945783707,2.344579526139955,PRUNED
43,0.0,2026-08-13 19:54:12.849353,2026-08-13 19:54:31.567413,0 days 00:00:18.718060,5.376106793129555,0.3094349015188551,0.6989117490817998,0.2077344823755276,35803,11.353516535833931,1478,1.6110986307445354,2.6329654250632193,PRUNED
44,0.0,2026-08-13 19:54:31.567413,2026-08-13 19:54:38.244778,0 days 00:00:06.677365,5.490544952511556,0.27234377618269806,0.8015099710922794,0.1443628564964228,27753,10.1044441894916,1115,2.970706582989988,2.0253312508304298,PRUNED
45,0.0,2026-08-13 19:54:38.245780,2026-08-13 19:54:48.033817,0 days 00:00:09.788037,5.908078054267737,0.19290212711177435,0.6320379380839863,0.25511388082117004,31486,12.359112069854572,1225,2.0864026945119707,3.2800899035806674,PRUNED
46,0.3099166666666667,2026-08-13 19:54:48.033817,2026-08-13 19:55:37.858972,0 days 00:00:49.825155,4.6070071941396336,0.22960606584082555,0.6786181045431346,0.21979946787175775,32973,8.096917992628306,375,2.2657764933109634,2.4618842170431816,COMPLETE
47,0.46027083333333335,2026-08-13 19:55:37.858972,2026-08-13 19:55:50.795141,0 days 00:00:12.936169,4.626599149419172,0.22542194474533997,0.6718932445047051,0.27718861361652714,23602,7.931794648264457,355,2.784052124225992,1.2702861185356191,PRUNED
48,0.0,2026-08-13 19:55:50.795141,2026-08-13 19:55:58.767742,0 days 00:00:07.972601,4.44906905183226,0.2549399175143868,0.7698958597388478,0.22299629354549624,18405,8.540437365487772,519,2.3062396100840967,4.976598983282677,PRUNED
49,0.0,2026-08-13 19:55:58.767742,2026-08-13 19:56:10.426127,0 days 00:00:11.658385,4.074466311704881,0.09837326372800453,0.6031958831170896,0.24071066949063374,33438,6.022537771366381,447,2.458948148989264,1.7698032121047103,PRUNED
