number,value,datetime_start,datetime_complete,duration,params_centerline_gain,params_grrt_corridor_sample,params_grrt_goal_bias,params_grrt_max_iters,params_grrt_step_m,params_safe_distance,params_time_horizon,state
24,0.8992083333333333,2026-08-13 22:04:21.273013,2026-08-13 22:06:05.201323,0 days 00:01:43.928310,0.04591886825284706,0.6397984736812553,0.2421647311822211,55728,5.7299605339385575,0.42588956749154944,2.9738589042214794,COMPLETE
25,0.46325,2026-08-13 22:06:05.201323,2026-08-13 22:06:53.877351,0 days 00:00:48.676028,0.04626460818289289,0.6399376621259925,0.2408045208870111,56439,5.419944363060179,0.4062361318589054,2.8020246869534238,PRUNED
26,0.9104583333333333,2026-08-13 22:06:53.877351,2026-08-13 22:08:20.339118,0 days 00:01:26.461767,0.026892343135244506,0.6730662561457016,0.2528945172020375,59353,4.297496110882573,0.2962594220356851,2.3412360761479882,COMPLETE
27,0.4608541666666667,2026-08-13 22:08:20.339118,2026-08-13 22:08:52.034364,0 days 00:00:31.695246,0.023931658763933192,0.7549994417073929,0.212730407909557,56672,4.323521036392214,0.2959954472186529,2.2490801410320658,PRUNED
28,0.7572291666666667,2026-08-13 22:08:52.034364,2026-08-13 22:10:42.028696,0 days 00:01:49.994332,0.025386445645883667,0.8399606569599808,0.17934746500253634,59431,4.01831311959675,0.35239791271689025,2.738445659390701,COMPLETE
29,0.4643333333333333,2026-08-13 22:10:42.028696,2026-08-13 22:10:57.850321,0 days 00:00:15.821625,0.03954227280220595,0.6839011993689175,0.22296164508364677,53796,5.424037677763982,0.43856573699769374,2.984868620829925,PRUNED
30,0.7561944444444445,2026-08-13 22:10:57.850321,2026-08-13 22:12:12.624558,0 days 00:01:14.774237,0.030038132005761345,0.6855107981084517,0.24325321532543712,59892,4.773571267007492,0.49407955008471327,1.8271754063571142,COMPLETE
31,0.4546458333333333,2026-08-13 22:12:12.624558,2026-08-13 22:12:31.702278,0 days 00:00:19.077720,0.10019777764473747,0.7892297376451758,0.257723948497954,42562,6.009630802711541,0.24191567021328939,3.239381237885782,PRUNED
32,0.8713541666666667,2026-08-13 22:12:31.702278,2026-08-13 22:13:10.272852,0 days 00:00:38.570574,0.05532748217168386,0.6074545664717016,0.28021220049455875,48467,8.49126785510179,0.22985160929649873,2.382932415060559,PRUNED
33,0.46306250000000004,2026-08-13 22:13:10.272852,2026-08-13 22:13:26.022128,0 days 00:00:15.749276,0.07002901105468282,0.6584313766767954,0.24461384650086096,53159,9.888819580460744,0.2894675039030293,3.9054538515454866,PRUNED
34,0.7602013888888889,2026-08-13 22:13:26.022128,2026-08-13 22:14:53.502412,0 days 00:01:27.480284,0.042960483199468824,0.5678977646105773,0.08788738375949379,51720,4.832383867985819,0.3185856126677515,3.3737340351083422,COMPLETE
35,0.8967430555555556,2026-08-13 22:14:53.502412,2026-08-13 22:16:43.419780,0 days 00:01:49.917368,0.0908869273061867,0.4448761572292823,0.13752717013751695,57232,5.925098269281739,0.26257326829478067,4.5991851787719895,COMPLETE
36,0.46416666666666667,2026-08-13 22:16:43.419780,2026-08-13 22:17:30.724676,0 days 00:00:47.304896,0.1202132357856265,0.44510948973984865,0.13519572011260883,56939,5.78482688995776,0.25974774547921664,4.905687397291576,PRUNED
37,0.45145833333333335,2026-08-13 22:17:30.724676,2026-08-13 22:17:51.849684,0 days 00:00:21.125008,0.16925617666274956,0.4740634290215269,0.05336868084228756,18348,7.135549376631032,0.35250842270662375,5.955051471302653,PRUNED
