number,value,datetime_start,datetime_complete,duration,params_centerline_cost_gain,params_goal_cost_gain,params_grrt_corridor_sample,params_grrt_goal_bias,params_grrt_max_iters,params_grrt_step_m,params_obstacle_cost_gain,params_predict_time,params_social_distance,params_speed_cost_gain,state
19,0.45560416666666664,2026-08-13 17:59:02.334532,2026-08-13 17:59:58.822773,0 days 00:00:56.488241,0.06721862140359143,0.6936469047829902,0.7726741198258389,0.20178846628903768,23892,12.797888316714237,1.3619396160170414,1.7937653724292666,0.9559794978603321,0.4272755256344601,COMPLETE
20,0.6159374999999999,2026-08-13 17:59:58.822773,2026-08-13 18:01:01.535365,0 days 00:01:02.712592,0.165512671096363,0.9258262395721097,0.6480044008427313,0.09274503001817622,57520,8.61754373945571,0.3750041256728599,2.742252983143434,1.3043315819185304,0.27358259576207083,COMPLETE
21,0.4411875,2026-08-13 18:01:01.535365,2026-08-13 18:01:19.022549,0 days 00:00:17.487184,0.032799395315369184,1.4586881023276552,0.8496703216316802,0.05596145711607896,35160,11.091262654207577,0.39938390238117566,3.08109262339,1.2598281158052058,0.7840484570110027,PRUNED
22,0.4594166666666667,2026-08-13 18:01:19.022549,2026-08-13 18:01:40.096166,0 days 00:00:21.073617,0.035889956533125954,1.1503125797309919,0.7893427991497401,0.050154862553610444,33905,12.338226924641885,0.7275123342727274,2.49931258894231,1.2461685260724513,0.7908284148597792,PRUNED
23,0.45027083333333334,2026-08-13 18:01:40.096166,2026-08-13 18:01:54.808358,0 days 00:00:14.712192,0.06955684822046017,1.4461173614976006,0.8522998632397858,0.0673332532719866,25953,10.869934136582884,0.4579257900475735,3.503479382098683,1.3855351652194663,0.5787508103213203,PRUNED
24,0.4618125,2026-08-13 18:01:54.808358,2026-08-13 18:02:43.986765,0 days 00:00:49.178407,0.04216902728113727,0.502279127970935,0.8530353706673658,0.09811251163519741,33272,12.900636240903221,0.3299365555994821,2.0207336988441678,1.489187392013211,1.5483879504742875,PRUNED
25,0.6055833333333334,2026-08-13 18:02:43.986765,2026-08-13 18:03:49.390367,0 days 00:01:05.403602,0.029564754637482114,0.9939557102997029,0.7979453181141531,0.14066892103717726,36670,9.15330094192013,0.46829175090198055,3.1082377550869182,0.9891500649914191,0.8278640671428129,COMPLETE
26,0.45140972222222225,2026-08-13 18:03:49.390367,2026-08-13 18:05:26.743442,0 days 00:01:37.353075,0.08718862377331821,1.255128634816215,0.7352257578348382,0.11120434320973868,21632,11.17988908771689,0.2143733849243723,3.9713468473966036,0.7039157341914843,0.4787806555752373,COMPLETE
27,0.7481736111111111,2026-08-13 18:05:26.743442,2026-08-13 18:07:03.471779,0 days 00:01:36.728337,0.052246909276852715,2.3581350517137096,0.5744136473112124,0.06713337338625137,15162,10.095700597880178,0.3254238498064868,1.760429649363298,1.1918207393298377,0.6596656395985262,COMPLETE
28,0.4590833333333333,2026-08-13 18:07:03.471779,2026-08-13 18:07:18.799496,0 days 00:00:15.327717,0.05563180595949795,2.7532282999877316,0.5663151249162219,0.07275735328995685,18822,8.157836532304263,0.3162955839988433,1.7160604489989628,0.8910184225043978,0.6652756063598805,PRUNED
29,0.30512500000000004,2026-08-13 18:07:18.799496,2026-08-13 18:08:36.002722,0 days 00:01:17.203226,0.11601751783885778,2.4802445313148893,0.5264570633420022,0.18537001191829056,15505,10.370340666076842,0.7614864268125553,2.215364103467242,1.0746609254217536,0.3669159383450893,COMPLETE
30,0.3092638888888889,2026-08-13 18:08:36.002722,2026-08-13 18:09:41.765975,0 days 00:01:05.763253,0.14749621086244466,3.1992069329685733,0.596630635746946,0.09883806550373171,19334,9.894912070332351,0.3361426902041421,2.6021021299808083,0.756945425559215,1.0194851926700716,COMPLETE
31,0.0,2026-08-13 18:09:41.765975,2026-08-13 18:09:57.311275,0 days 00:00:15.545300,0.04609176071329912,2.186685772987959,0.7009134947704879,0.0639812237393512,25350,11.517511331051173,0.42686284235637806,1.50144062073735,1.1774091123205626,0.6808520608328827,PRUNED
32,0.6075625,2026-08-13 18:09:57.311275,2026-08-13 18:11:25.158595,0 days 00:01:27.847320,0.07130326840880742,1.5936758512747387,0.48763400126189577,0.05001183184287823,38668,9.7064535311703,0.3423388323588719,2.2670038963862282,1.3234036945635204,0.49866073951752815,COMPLETE
33,0.0,2026-08-13 18:11:25.158595,2026-08-13 18:12:06.274912,0 days 00:00:41.116317,0.027438055454044936,0.6373366419913766,0.6658769501721182,0.07932672678824353,53734,12.209449937840514,0.5490963868513462,1.21089576478108,1.2307327207226348,0.886035648851622,PRUNED
34,0.6083402777777778,2026-08-13 18:12:06.274912,2026-08-13 18:13:22.967819,0 days 00:01:16.692907,0.05805297727831167,1.6586612247939625,0.40925760815755197,0.10497878644842411,43656,12.90665452714991,0.4109071675010874,1.6023157279910136,1.3924203656617353,1.2796338081781256,COMPLETE
35,0.5948819444444444,2026-08-13 18:13:22.967819,2026-08-13 18:14:35.391951,0 days 00:01:12.424132,0.09478860344489656,0.7133454821535219,0.8643894746879082,0.253427653092585,39091,8.983327460378034,0.22902265945909217,1.9293861143655848,1.1264400182817838,0.5708855970741535,COMPLETE
36,0.7540625,2026-08-13 18:14:35.391951,2026-08-13 18:16:19.382689,0 days 00:01:43.990738,0.06353997909388703,2.2101775270099795,0.6062668343263895,0.06506027587553559,20340,10.69131813071167,0.30808249020801487,1.385615985386932,1.2884922367776013,0.40244552233481423,COMPLETE
37,0.4583541666666667,2026-08-13 18:16:19.382689,2026-08-13 18:16:38.241660,0 days 00:00:18.858971,0.06339462634081407,2.2844362065296813,0.6007161264060171,0.1324481805685823,21058,8.382514604660726,0.288457459012098,1.308990009808537,1.3301335194846877,0.3731237656135607,PRUNED
38,0.4629166666666667,2026-08-13 18:16:38.241660,2026-08-13 18:17:07.624094,0 days 00:00:29.382434,0.08028169853313036,1.892332092107435,0.6043641989350942,0.17515260103523353,15643,9.993099168701514,2.9253905719008513,1.3811052186347303,0.5686939879890944,0.15321196130997564,PRUNED
39,0.4585763888888889,2026-08-13 18:17:07.624094,2026-08-13 18:18:41.007095,0 days 00:01:33.383001,0.04728577623248471,3.0985264562071655,0.5054044571993193,0.08165917104262871,18395,10.737026818095664,0.24112238096305155,1.5859779509175704,0.8873177883434201,0.11174405990198376,COMPLETE
40,0.45356250000000004,2026-08-13 18:18:41.007095,2026-08-13 18:19:47.165896,0 days 00:01:06.158801,0.12706642442072533,0.7952444228301605,0.6842611154566134,0.2665342675843326,20657,7.906605361263896,0.3035144909337461,1.8854513315009624,1.4319266839304978,0.3972179292422632,COMPLETE
41,0.0,2026-08-13 18:19:47.165896,2026-08-13 18:20:00.201475,0 days 00:00:13.035579,0.03717457953356443,2.0626893992536135,0.7601516189045746,0.06443243471091929,23528,11.50298650169932,0.3611905682078028,1.4166748658819688,1.2887567690153163,0.9497449613345978,PRUNED
42,0.45725000000000005,2026-08-13 18:20:00.201475,2026-08-13 18:20:24.914530,0 days 00:00:24.713055,0.05128605806836531,0.9865542406551063,0.5777810318465925,0.08559541512646116,26916,13.51067258253452,0.27406512241778513,1.691295054746986,1.1962921903668675,0.6825335548512188,PRUNED
43,0.44551388888888893,2026-08-13 18:20:24.914530,2026-08-13 18:22:01.826213,0 days 00:01:36.911683,0.42798637570285436,1.292709971565215,0.8892537800104998,0.061431358642509475,31930,10.625967757656683,0.5101644568983573,3.2869777231193624,1.1317228783416686,0.5177434792089903,COMPLETE
44,0.0,2026-08-13 18:22:01.826213,2026-08-13 18:22:19.312531,0 days 00:00:17.486318,0.06164268568216172,1.6564137286585754,0.6270218682743887,0.1525277288186154,28773,12.164376853850811,1.7681231324827593,2.098658305875249,0.42712537191122835,0.697320806209366,PRUNED
45,0.0,2026-08-13 18:22:19.312531,2026-08-13 18:22:35.467846,0 days 00:00:16.155315,0.2117921558014811,0.567522272529573,0.7177525662300195,0.07306777589822783,17800,9.526808471969813,0.635211749037822,1.8542564969264195,1.023986191680197,1.166675596967402,PRUNED
46,0.459875,2026-08-13 18:22:35.467846,2026-08-13 18:22:52.743700,0 days 00:00:17.275854,0.10847806757344006,1.8481800299708477,0.8292460915689301,0.22830252041064109,50828,11.366131974435016,0.2457674213015621,2.9270224911784353,1.353877875645689,0.26348536162985053,PRUNED
47,0.6097916666666666,2026-08-13 18:22:52.743700,2026-08-13 18:24:05.804812,0 days 00:01:13.061112,0.07910786220953406,1.0851004654227674,0.45562367515889896,0.20431445483993865,40739,5.369302126933121,0.20241437651024774,1.4767551517880115,1.2191650159566925,0.4394351897113643,COMPLETE
48,0.4615625,2026-08-13 18:24:05.804812,2026-08-13 18:24:25.448496,0 days 00:00:19.643684,0.04580304474970676,3.4160492548092933,0.873247628870704,0.08877000065141294,44738,10.000568626644057,0.4345595000275162,2.346431729932767,0.6045582438546874,1.520580774208849,PRUNED
49,0.7420625,2026-08-13 18:24:25.448496,2026-08-13 18:26:00.859683,0 days 00:01:35.411187,0.032576975065198056,2.4202293603746154,0.5495894255833232,0.07450582310942247,22850,8.786728413723967,0.29833384457837686,1.6643217143834312,1.2752399980798834,0.3146348693776379,COMPLETE
