success,termination_reason,steps,total_time_s,path_length_m,straight_line_distance_m,extra_distance_ratio,normalized_time_ratio,final_goal_distance_m,min_person_distance_m,collision_steps,hazard_steps_lt_social_distance,hazard_time_ratio,hazard_ratio_given_social_presence,sidewalk_violation_steps,sidewalk_violation_ratio,mean_speed_mps,mean_abs_yaw_rate_radps,mean_abs_accel_mps2,mean_abs_jerk_mps3,seed,algorithm
False,max_time,1801,900.0,151.56,295.8,0.5124,2.8905,144.991,0.598,0,14,0.0078,0.0078,0,0.0,0.169,0.036,0.003,0.01,68,dwa
False,collision,590,294.5,258.844,295.8,0.8751,0.9458,44.711,0.297,1,37,0.0627,0.0627,0,0.0,0.878,0.111,0.076,0.22,69,dwa
False,collision,517,258.0,221.805,295.8,0.7498,0.8286,78.447,0.35,1,18,0.0348,0.0391,0,0.0,0.859,0.124,0.151,0.532,70,dwa
False,collision,518,258.5,234.848,295.8,0.7939,0.8302,62.23,0.205,1,25,0.0483,0.0483,0,0.0,0.908,0.059,0.04,0.125,71,dwa
False,collision,471,235.0,213.54,295.8,0.7219,0.7547,84.961,0.159,1,23,0.0488,0.0488,0,0.0,0.908,0.075,0.049,0.152,72,dwa
False,collision,462,230.5,209.32,295.8,0.7076,0.7403,87.426,0.302,1,14,0.0303,0.0304,0,0.0,0.907,0.051,0.032,0.103,73,dwa
False,collision,107,53.0,44.34,295.8,0.1499,0.1702,252.029,0.064,1,11,0.1028,0.1028,0,0.0,0.833,0.127,0.235,0.821,74,dwa
False,collision,482,240.5,220.91,295.8,0.7468,0.7724,76.423,0.187,1,21,0.0436,0.0436,0,0.0,0.917,0.06,0.04,0.114,75,dwa
False,collision,101,50.0,45.27,295.8,0.153,0.1606,250.577,0.164,1,2,0.0198,0.0198,0,0.0,0.9,0.037,0.107,0.394,76,dwa
False,collision,449,224.0,207.79,295.8,0.7025,0.7194,88.296,0.181,1,6,0.0134,0.0134,0,0.0,0.926,0.039,0.016,0.047,77,dwa
False,collision,463,231.0,213.26,295.8,0.721,0.7419,83.238,0.33,1,18,0.0389,0.0398,0,0.0,0.922,0.045,0.025,0.073,78,dwa
False,collision,475,237.0,210.517,295.8,0.7117,0.7612,86.936,0.162,1,13,0.0274,0.0274,0,0.0,0.887,0.071,0.085,0.284,79,dwa
False,collision,451,225.0,208.45,295.8,0.7047,0.7226,87.572,0.192,1,8,0.0177,0.0187,0,0.0,0.925,0.039,0.016,0.046,80,dwa
False,collision,489,244.0,224.379,295.8,0.7585,0.7836,72.873,0.256,1,11,0.0225,0.0225,0,0.0,0.919,0.055,0.03,0.096,81,dwa
False,collision,484,241.5,219.259,295.8,0.7412,0.7756,81.567,0.28,1,29,0.0599,0.0603,0,0.0,0.907,0.077,0.047,0.13,82,dwa
False,collision,537,268.0,240.219,295.8,0.8121,0.8607,60.343,0.229,1,32,0.0596,0.0599,0,0.0,0.895,0.082,0.064,0.203,83,dwa
False,collision,477,238.0,216.948,295.8,0.7334,0.7644,84.904,0.266,1,20,0.0419,0.0424,0,0.0,0.91,0.078,0.039,0.124,84,dwa
False,collision,553,276.0,245.994,295.8,0.8316,0.8864,55.852,0.267,1,34,0.0615,0.0638,0,0.0,0.89,0.097,0.062,0.181,85,dwa
False,collision,467,233.0,206.84,295.8,0.6993,0.7483,89.253,0.231,1,21,0.045,0.0482,0,0.0,0.887,0.044,0.084,0.283,86,dwa
False,collision,452,225.5,207.2,295.8,0.7005,0.7242,89.098,0.028,1,13,0.0288,0.0291,0,0.0,0.918,0.044,0.029,0.096,87,dwa
False,collision,559,279.0,250.858,295.8,0.8481,0.896,48.777,0.355,1,27,0.0483,0.0494,0,0.0,0.898,0.078,0.048,0.131,88,dwa
False,collision,571,285.0,248.489,295.8,0.8401,0.9153,49.202,0.322,1,21,0.0368,0.0368,0,0.0,0.871,0.07,0.134,0.464,89,dwa
False,collision,479,239.0,218.62,295.8,0.7391,0.7676,78.352,0.266,1,11,0.023,0.0232,0,0.0,0.914,0.054,0.041,0.131,90,dwa
False,collision,485,242.0,212.895,295.8,0.7197,0.7772,88.798,0.392,1,28,0.0577,0.0577,0,0.0,0.879,0.09,0.08,0.265,91,dwa
False,collision,466,232.5,213.43,295.8,0.7215,0.7467,83.738,0.28,1,31,0.0665,0.0665,0,0.0,0.917,0.055,0.038,0.127,92,dwa
False,collision,609,304.0,270.544,295.8,0.9146,0.9763,33.287,0.354,1,42,0.069,0.069,0,0.0,0.889,0.103,0.074,0.217,93,dwa
False,collision,564,281.5,249.278,295.8,0.8427,0.9041,50.569,0.125,1,42,0.0745,0.0745,0,0.0,0.885,0.093,0.07,0.204,94,dwa
False,collision,472,235.5,213.38,295.8,0.7214,0.7563,83.299,0.207,1,29,0.0614,0.0614,0,0.0,0.905,0.05,0.039,0.13,95,dwa
False,collision,504,251.5,219.9,295.8,0.7434,0.8077,77.573,0.167,1,29,0.0575,0.0602,0,0.0,0.873,0.086,0.106,0.357,96,dwa
False,max_time,1801,900.0,111.85,295.8,0.3781,2.8905,184.121,0.562,0,5,0.0028,0.0028,0,0.0,0.124,0.035,0.002,0.007,97,dwa
False,max_time,1801,900.0,172.73,295.8,0.5839,2.8905,125.688,0.541,0,19,0.0105,0.0105,0,0.0,0.192,0.038,0.013,0.049,98,dwa
False,collision,567,283.0,242.522,295.8,0.8199,0.9089,59.411,0.18,1,39,0.0688,0.0701,0,0.0,0.856,0.107,0.104,0.331,99,dwa
False,collision,450,224.5,206.82,295.8,0.6992,0.721,89.513,0.352,1,11,0.0244,0.0247,0,0.0,0.92,0.045,0.025,0.079,100,dwa
