success,termination_reason,steps,total_time_s,path_length_m,straight_line_distance_m,extra_distance_ratio,normalized_time_ratio,final_goal_distance_m,min_person_distance_m,collision_steps,hazard_steps_lt_social_distance,hazard_time_ratio,hazard_ratio_given_social_presence,sidewalk_violation_steps,sidewalk_violation_ratio,mean_speed_mps,mean_abs_yaw_rate_radps,mean_abs_accel_mps2,mean_abs_jerk_mps3,seed,algorithm
False,collision,572,285.5,250.698,295.8,0.8475,0.9169,49.545,0.319,1,21,0.0367,0.0367,0,0.0,0.877,0.082,0.157,0.525,89,dwa
False,collision,504,251.5,227.909,295.8,0.7705,0.8077,70.273,0.33,1,16,0.0317,0.032,0,0.0,0.905,0.073,0.042,0.114,90,dwa
False,collision,50,24.5,20.78,295.8,0.0703,0.0787,275.097,0.103,1,3,0.06,0.06,0,0.0,0.839,0.043,0.291,1.02,91,dwa
False,collision,469,234.0,213.466,295.8,0.7217,0.7515,86.373,0.222,1,27,0.0576,0.0576,0,0.0,0.911,0.092,0.043,0.134,92,dwa
False,collision,457,228.0,211.46,295.8,0.7149,0.7323,85.402,0.328,1,19,0.0416,0.0416,0,0.0,0.926,0.053,0.025,0.084,93,dwa
False,collision,474,236.5,216.62,295.8,0.7323,0.7596,80.925,0.328,1,19,0.0401,0.0401,0,0.0,0.915,0.058,0.033,0.113,94,dwa
False,collision,547,273.0,250.957,295.8,0.8484,0.8768,47.039,0.226,1,24,0.0439,0.044,0,0.0,0.918,0.065,0.033,0.104,95,dwa
False,collision,507,253.0,221.946,295.8,0.7503,0.8125,78.674,0.25,1,33,0.0651,0.0675,0,0.0,0.876,0.121,0.126,0.439,96,dwa
False,collision,448,223.5,208.14,295.8,0.7037,0.7178,88.641,0.139,1,10,0.0223,0.0226,0,0.0,0.93,0.049,0.018,0.047,97,dwa
False,max_time,1801,900.0,172.74,295.8,0.584,2.8905,125.683,0.549,0,15,0.0083,0.0083,0,0.0,0.192,0.039,0.008,0.027,98,dwa
False,collision,539,269.0,236.794,295.8,0.8005,0.8639,66.516,0.265,1,32,0.0594,0.0608,0,0.0,0.879,0.107,0.084,0.269,99,dwa
False,collision,449,224.0,207.82,295.8,0.7026,0.7194,88.642,0.089,1,12,0.0267,0.027,0,0.0,0.927,0.048,0.019,0.056,100,dwa
False,collision,540,269.5,247.569,295.8,0.8369,0.8655,50.334,0.236,1,21,0.0389,0.0411,0,0.0,0.918,0.068,0.027,0.084,101,dwa
False,collision,463,231.0,214.99,295.8,0.7268,0.7419,81.923,0.298,1,6,0.013,0.0134,0,0.0,0.93,0.049,0.012,0.035,102,dwa
False,collision,479,239.0,216.866,295.8,0.7332,0.7676,84.481,0.287,1,12,0.0251,0.0259,0,0.0,0.906,0.089,0.036,0.103,103,dwa
False,collision,133,66.0,58.679,295.8,0.1984,0.212,238.681,0.05,1,12,0.0902,0.0902,0,0.0,0.885,0.171,0.131,0.42,104,dwa
False,collision,541,270.0,246.607,295.8,0.8337,0.8671,52.342,0.276,1,17,0.0314,0.0314,0,0.0,0.912,0.077,0.033,0.096,105,dwa
False,collision,566,282.5,258.307,295.8,0.8732,0.9073,40.293,0.353,1,36,0.0636,0.0643,0,0.0,0.913,0.08,0.055,0.175,106,dwa
False,collision,465,232.0,213.65,295.8,0.7223,0.7451,85.385,0.358,1,5,0.0108,0.0108,0,0.0,0.92,0.062,0.034,0.094,107,dwa
