"term","estimate","se","ci_lo","ci_hi"
"algorithmdijkstra+lstm_rl_upstream",-0.10327813572463,0.137013043894283,-0.371823701757425,0.165267430308166
"algorithmdijkstra+mpc",-0.955324815625997,0.143233668033886,-1.23606280497241,-0.674586826279581
"algorithmdijkstra+mpc_dompc",-1.5255592228369,0.153329675892718,-1.82608538758662,-1.22503305808717
"algorithmdijkstra+orca",-1.67174840539217,0.156900695267021,-1.97927376811553,-1.36422304266881
"algorithmdijkstra+orca_heuristic",1.14840212059528,0.143762345135449,0.866627924129805,1.43017631706076
"algorithmdijkstra+rrt",-3.67119108667248,0.275566897047838,-4.21130220488624,-3.13107996845872
"algorithmdijkstra+sarl",1.0161153704475,0.142092368113226,0.737614328945579,1.29461641194942
"algorithmdijkstra+sarl_upstream",1.43327588944375,0.148282317819994,1.14264254651656,1.72390923237094
"algorithmdijkstra+teb",-4.06527020572976,0.323068031586518,-4.69848354763933,-3.43205686382018
"algorithmdijkstra+teb_upstream",-2.95184198904896,0.213630560376783,-3.37055788738745,-2.53312609071046
"algorithmrrt+astar",-2.13891552594288,0.171679280790942,-2.47540691629313,-1.80242413559264
"algorithmrrt+cadrl",-0.437850510003344,0.138364162838609,-0.709044269167018,-0.166656750839671
"algorithmrrt+cadrl_upstream",-1.41580323110174,0.150934835341914,-1.7116355083719,-1.11997095383159
"algorithmrrt+crowdnav_attngraph",0.257137528818717,0.137092287589272,-0.0115633548562559,0.52583841249369
"algorithmrrt+crowdnav_dsrnn",-0.207137701653329,0.137291043303817,-0.476228146528811,0.0619527432221534
"algorithmrrt+dijkstra",-1.23606259807075,0.147501288951071,-1.52516512441485,-0.946960071726651
"algorithmrrt+dwa",0.0186658498855704,0.136845791719363,-0.249551901884381,0.286883601655522
"algorithmrrt+lstm_rl",-0.207137701653329,0.137291043303821,-0.476228146528818,0.0619527432221609
"algorithmrrt+lstm_rl_upstream",-0.616765354987117,0.139645520398152,-0.890470574967495,-0.343060135006739
"algorithmrrt+mpc",-0.824539807962939,0.141658018871441,-1.10218952495096,-0.546890090974915
"algorithmrrt+mpc_dompc",-0.85674597443301,0.142023124257311,-1.13511129797734,-0.578380650888681
"algorithmrrt+orca",-0.922121915285273,0.14281004903343,-1.2020296113908,-0.64221421917975
"algorithmrrt+orca_heuristic",0.826906807762308,0.14013578162194,0.552240675783307,1.10157293974131
"algorithmrrt+rrt",-2.78302397935976,0.202842805366695,-3.18059587787848,-2.38545208084104
"algorithmrrt+sarl",0.168411785558703,0.13687396231666,-0.0998611805819499,0.436684751699356
"algorithmrrt+sarl_upstream",0.606721850630516,0.138456079979919,0.335347933869876,0.878095767391156
"algorithmrrt+teb",-3.14702563729219,0.227721416629521,-3.59335961388605,-2.70069166069832
"algorithmrrt+teb_upstream",-1.64161330952396,0.156127373636547,-1.94762296185159,-1.33560365719633
"scale_task_path_length_m",-0.340107997884006,0.15480407795989,-0.64352399068539,-0.0366920050826208
"scale_task_n_turns",0.00979426321288612,0.122949751807945,-0.231187250330686,0.250775776756458
"scale_task_min_sidewalk_width_m",0.0164007047658246,0.0784696597658044,-0.137399828375152,0.170201237906801
"scale_task_n_signalised_junctions",-0.49847414560125,0.13599922986808,-0.765032636142686,-0.231915655059814
"scale_demand_total_ph",0.0706973067202871,0.13144548766356,-0.18693584910029,0.328330462540864
