unit,unit_name,n,goal_n,goal_rate,goal_lo,goal_hi,collision_n,collision_rate,collision_lo,collision_hi,timeout_n,timeout_rate,timeout_lo,timeout_hi,stuck_n,stuck_rate,stuck_lo,stuck_hi,no_n,no_rate,no_lo,no_hi,other_n,other_rate,other_lo,other_hi
dijkstra+cadrl,Dijkstra + CADRL (ours),500,255,0.51,0.4663,0.5536,228,0.456,0.4128,0.4998,8,0.016,0.0081,0.0313,9,0.018,0.0095,0.0339,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076
astar+cadrl,A* + CADRL (ours),500,258,0.516,0.4722,0.5595,225,0.45,0.4069,0.4938,8,0.016,0.0081,0.0313,9,0.018,0.0095,0.0339,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076
rrt+sarl,RRT + SARL (ours),500,259,0.518,0.4742,0.5615,169,0.338,0.2979,0.3806,40,0.08,0.0593,0.1071,6,0.012,0.0055,0.0259,26,0.052,0.0357,0.0751,0,0.0,0.0,0.0076
dijkstra+lstm_rl,Dijkstra + LSTM-RL (ours),500,268,0.536,0.4922,0.5793,232,0.464,0.4207,0.5078,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076
rrt+crowdnav_attngraph,RRT + CrowdNav AttnGraph,499,268,0.5371,0.4932,0.5804,129,0.2585,0.222,0.2987,82,0.1643,0.1344,0.1994,1,0.002,0.0004,0.0113,19,0.0381,0.0245,0.0587,0,0.0,0.0,0.0076
astar+lstm_rl,A* + LSTM-RL (ours),500,280,0.56,0.5162,0.6029,220,0.44,0.3971,0.4838,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076
rrt+sarl_upstream,RRT + SARL (upstream),500,305,0.61,0.5666,0.6518,154,0.308,0.2691,0.3498,3,0.006,0.002,0.0175,0,0.0,0.0,0.0076,38,0.076,0.0559,0.1026,0,0.0,0.0,0.0076
rrt+orca_heuristic,"RRT + ORCA (heuristic, ours)",500,327,0.654,0.6113,0.6944,62,0.124,0.0979,0.1558,1,0.002,0.0004,0.0112,92,0.184,0.1525,0.2203,18,0.036,0.0229,0.0562,0,0.0,0.0,0.0076
dijkstra+sarl,Dijkstra + SARL (ours),500,345,0.69,0.6481,0.729,112,0.224,0.1896,0.2626,25,0.05,0.0341,0.0728,18,0.036,0.0229,0.0562,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076
astar+sarl,A* + SARL (ours),500,346,0.692,0.6502,0.7309,113,0.226,0.1915,0.2647,23,0.046,0.0308,0.0681,18,0.036,0.0229,0.0562,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076
dijkstra+orca_heuristic,"Dijkstra + ORCA (heuristic, ours)",500,357,0.714,0.6729,0.7519,59,0.118,0.0926,0.1492,3,0.006,0.002,0.0175,81,0.162,0.1323,0.1969,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076
astar+orca_heuristic,"A* + ORCA (heuristic, ours)",500,362,0.724,0.6832,0.7614,58,0.116,0.0908,0.147,1,0.002,0.0004,0.0112,79,0.158,0.1287,0.1926,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076
dijkstra+sarl_upstream,Dijkstra + SARL (upstream),500,381,0.762,0.7228,0.7972,119,0.238,0.2028,0.2772,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076
astar+sarl_upstream,A* + SARL (upstream),500,386,0.772,0.7332,0.8066,114,0.228,0.1934,0.2668,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076,0,0.0,0.0,0.0076
