success,termination_reason,steps,total_time_s,path_length_m,straight_line_distance_m,extra_distance_ratio,normalized_time_ratio,final_goal_distance_m,min_person_distance_m,collision_steps,hazard_steps_lt_social_distance,hazard_time_ratio,hazard_ratio_given_social_presence,sidewalk_violation_steps,sidewalk_violation_ratio,mean_speed_mps,mean_abs_yaw_rate_radps,mean_abs_accel_mps2,mean_abs_jerk_mps3,seed,algorithm
False,collision,372,185.5,203.18,295.84,0.6868,0.7524,93.146,0.391,1,22,0.0591,0.0591,0,0.0,1.093,0.048,0.127,0.362,58,dwa
False,collision,363,181.0,207.97,295.84,0.703,0.7342,88.333,0.315,1,11,0.0303,0.0306,0,0.0,1.147,0.053,0.111,0.281,59,dwa
False,collision,373,186.0,208.9,295.84,0.7061,0.7545,87.405,0.21,1,12,0.0322,0.0322,0,0.0,1.121,0.055,0.17,0.537,60,dwa
False,collision,443,221.0,218.929,295.84,0.74,0.8964,85.87,0.283,1,38,0.0858,0.0858,0,0.0,0.989,0.147,0.328,1.129,61,dwa
False,collision,409,204.0,216.469,295.84,0.7317,0.8275,82.926,0.202,1,23,0.0562,0.0562,0,0.0,1.059,0.081,0.218,0.642,62,dwa
False,collision,410,204.5,224.1,295.84,0.7575,0.8295,72.607,0.136,1,9,0.022,0.022,0,0.0,1.094,0.078,0.233,0.767,63,dwa
False,collision,353,176.0,204.13,295.84,0.69,0.7139,92.011,0.153,1,4,0.0113,0.0113,0,0.0,1.157,0.042,0.124,0.374,64,dwa
False,max_time,841,420.0,127.39,295.84,0.4306,1.7036,169.086,0.568,0,12,0.0143,0.0143,0,0.0,0.303,0.05,0.096,0.339,65,dwa
False,collision,407,203.0,215.858,295.84,0.7296,0.8234,80.998,0.138,1,12,0.0295,0.0337,0,0.0,1.062,0.068,0.179,0.524,66,dwa
False,collision,398,198.5,206.33,295.84,0.6974,0.8052,90.116,0.194,1,20,0.0503,0.0508,0,0.0,1.038,0.082,0.282,0.985,67,dwa
False,collision,115,57.0,64.35,295.84,0.2175,0.2312,231.535,0.275,1,7,0.0609,0.0609,0,0.0,1.122,0.036,0.278,0.966,68,dwa
False,collision,370,184.5,204.77,295.84,0.6922,0.7484,91.572,0.372,1,14,0.0378,0.0387,0,0.0,1.108,0.075,0.147,0.444,69,dwa
False,collision,409,204.0,208.868,295.84,0.706,0.8275,89.045,0.227,1,17,0.0416,0.0467,0,0.0,1.022,0.1,0.169,0.496,70,dwa
True,goal_reached,556,277.5,298.654,295.84,1.0095,1.1256,0.226,0.408,0,39,0.0701,0.0704,0,0.0,1.075,0.089,0.17,0.479,71,dwa
False,collision,424,211.5,215.088,295.84,0.727,0.8579,86.797,0.234,1,15,0.0354,0.036,0,0.0,1.015,0.124,0.318,1.129,72,dwa
False,collision,402,200.5,212.58,295.84,0.7186,0.8133,89.327,0.285,1,20,0.0498,0.0498,0,0.0,1.058,0.104,0.228,0.754,73,dwa
