success,termination_reason,steps,total_time_s,path_length_m,straight_line_distance_m,extra_distance_ratio,normalized_time_ratio,final_goal_distance_m,min_person_distance_m,collision_steps,hazard_steps_lt_social_distance,hazard_time_ratio,hazard_ratio_given_social_presence,sidewalk_violation_steps,sidewalk_violation_ratio,mean_speed_mps,mean_abs_yaw_rate_radps,mean_abs_accel_mps2,mean_abs_jerk_mps3,algorithm,seed
False,collision,133,66.0,73.65,295.85,0.2489,0.2677,222.473,0.199,1,23,0.1729,0.1729,0,0.0,1.11,0.065,0.064,0.165,orca,463
False,collision,150,74.5,85.85,295.85,0.2902,0.3022,210.118,0.378,1,47,0.3133,0.3133,0,0.0,1.147,0.017,0.068,0.23,orca,464
False,collision,133,66.0,76.55,295.85,0.2587,0.2677,219.437,0.4,1,41,0.3083,0.3083,0,0.0,1.153,0.009,0.074,0.253,orca,465
False,collision,476,237.5,253.195,295.85,0.8558,0.9633,54.104,0.32,1,104,0.2185,0.2185,0,0.0,1.066,0.194,0.085,0.247,orca,466
False,collision,509,254.0,283.38,295.85,0.9579,1.0303,24.441,0.174,1,59,0.1159,0.1178,0,0.0,1.115,0.208,0.096,0.316,orca,467
False,collision,70,34.5,32.5,295.85,0.1099,0.1399,263.35,0.394,1,51,0.7286,0.7286,0,0.0,0.933,0.0,0.188,0.676,orca,468
False,max_time,841,420.0,143.044,295.85,0.4835,1.7036,153.812,0.691,0,20,0.0238,0.0242,0,0.0,0.341,0.015,0.013,0.038,orca,469
False,collision,506,252.5,289.889,295.85,0.9799,1.0242,19.677,0.353,1,21,0.0415,0.0419,0,0.0,1.146,0.175,0.073,0.205,orca,470
False,collision,111,55.0,55.0,295.85,0.1859,0.2231,241.029,0.349,1,90,0.8108,0.8108,0,0.0,0.994,0.062,0.14,0.51,orca,471
False,collision,73,36.0,40.05,295.85,0.1354,0.146,255.859,0.344,1,39,0.5342,0.5342,0,0.0,1.101,0.026,0.136,0.456,orca,472
True,goal_reached,538,268.5,303.903,295.85,1.0272,1.0891,0.154,0.414,0,49,0.0911,0.0965,0,0.0,1.13,0.166,0.085,0.251,orca,473
True,goal_reached,514,256.5,299.244,295.85,1.0115,1.0404,0.083,0.444,0,58,0.1128,0.1128,0,0.0,1.165,0.08,0.046,0.162,orca,474
False,collision,156,77.5,89.75,295.85,0.3034,0.3143,206.159,0.396,1,71,0.4551,0.4551,0,0.0,1.153,0.012,0.094,0.34,orca,475
False,collision,432,215.5,249.347,295.85,0.8428,0.8741,52.168,0.273,1,87,0.2014,0.2219,0,0.0,1.155,0.145,0.084,0.276,orca,476
True,goal_reached,550,274.5,311.641,295.85,1.0534,1.1134,0.246,0.479,0,56,0.1018,0.1018,0,0.0,1.135,0.188,0.067,0.192,orca,477
False,collision,376,187.5,218.396,295.85,0.7382,0.7605,84.721,0.319,1,16,0.0426,0.0426,0,0.0,1.163,0.137,0.046,0.149,orca,478
False,collision,98,48.5,55.95,295.85,0.1891,0.1967,239.9,0.361,1,46,0.4694,0.4694,0,0.0,1.145,0.0,0.109,0.379,orca,479
False,collision,555,277.0,308.821,295.85,1.0438,1.1235,12.146,0.301,1,23,0.0414,0.0458,0,0.0,1.114,0.328,0.122,0.346,orca,480
False,collision,159,79.0,85.65,295.85,0.2895,0.3204,210.328,0.374,1,61,0.3836,0.3836,0,0.0,1.079,0.016,0.087,0.303,orca,481
True,goal_reached,509,254.0,300.269,295.85,1.0149,1.0303,0.109,0.689,0,10,0.0196,0.0223,0,0.0,1.181,0.109,0.034,0.11,orca,482
