"term","estimate","se","ci_lo","ci_hi"
"algorithmdijkstra+dijkstra",-0.662674175669274,0.148698243483381,-0.954122732896701,-0.371225618441848
"algorithmdijkstra+dwa",-0.095252609582893,0.154388944124912,-0.39785494006772,0.207349720901934
"algorithmdijkstra+lstm_rl",-0.352840393485718,0.15129864231456,-0.649385732422255,-0.0562950545491815
"algorithmdijkstra+lstm_rl_upstream",-0.395591345640486,0.150870510364758,-0.691297545955412,-0.0998851453255604
"algorithmdijkstra+mpc",0.338458872152786,0.161847551956923,0.0212376703172165,0.655680073988355
"algorithmdijkstra+mpc_dompc",0.32445639859978,0.161556581926873,0.00780549802310809,0.641107299176451
"algorithmdijkstra+orca",-0.531266045429562,0.149661311175033,-0.824602215332627,-0.237929875526497
"algorithmdijkstra+orca_heuristic",-0.448349189721246,0.150373647413433,-0.743081538651576,-0.153616840790917
"algorithmdijkstra+rrt",-1.24645830656212,0.146705317489926,-1.53400072884238,-0.958915884281868
"algorithmdijkstra+sarl",-0.771235581506877,0.14805050620066,-1.06141457366017,-0.481056589353583
"algorithmdijkstra+sarl_upstream",-0.0480272598540115,0.155056169216745,-0.351937351518832,0.255882831810809
"algorithmdijkstra+teb",-0.868209829275445,0.14758146728287,-1.15746950514987,-0.57895015340102
"algorithmdijkstra+teb_upstream",0.338458872152703,0.161847551956917,0.0212376703171454,0.65568007398826
"algorithmrrt+astar",-0.954428537828517,0.147249369650086,-1.24303730234269,-0.665819773314348
"algorithmrrt+cadrl",-0.194215945276914,0.153265650926272,-0.494616621092406,0.106184730538579
"algorithmrrt+cadrl_upstream",-2.24467935829653,0.151897058607807,-2.54239759316784,-1.94696112342523
"algorithmrrt+crowdnav_attngraph",-1.04448126954221,0.147062635565382,-1.33272403525036,-0.756238503834059
"algorithmrrt+crowdnav_dsrnn",-0.582263502189258,0.149263801951647,-0.874820554014487,-0.28970645036403
"algorithmrrt+dijkstra",-0.897062072230348,0.14746150738831,-1.18608662671144,-0.60803751774926
"algorithmrrt+dwa",-0.466656711427322,0.150365512772821,-0.761373116462051,-0.171940306392594
"algorithmrrt+lstm_rl",-0.499956201830275,0.150080105918857,-0.794113209431235,-0.205799194229315
"algorithmrrt+lstm_rl_upstream",-1.03983576163543,0.146997998897499,-1.32795183947453,-0.751719683796331
"algorithmrrt+mpc",0.0367039218123716,0.156337004571547,-0.26971660714786,0.343124450772603
"algorithmrrt+mpc_dompc",0.0106922427298101,0.155984665330401,-0.295037701317776,0.316422186777396
"algorithmrrt+orca",-0.699154390015633,0.148539777352599,-0.990292353626727,-0.408016426404539
"algorithmrrt+orca_heuristic",-0.0775890327327059,0.154802507225009,-0.381001946893723,0.225823881428311
"algorithmrrt+rrt",-2.24467935829653,0.151897058607792,-2.5423975931678,-1.94696112342525
"algorithmrrt+sarl",-0.790740826055164,0.147947947199514,-1.08071880256621,-0.500762849544117
"algorithmrrt+sarl_upstream",-0.379421512263563,0.151124645276819,-0.675625817006129,-0.0832172075209965
"algorithmrrt+teb",-2.12757758603751,0.150661127120481,-2.42287339519365,-1.83228177688136
"algorithmrrt+teb_upstream",-1.38677585169889,0.146760372885293,-1.67442618255407,-1.09912552084372
"scale_task_path_length_m",-0.0695194072381853,0.053922468648669,-0.175207445789577,0.036168631313206
"scale_task_n_turns",-0.0605372038949255,0.0275029947494124,-0.114443073603774,-0.00663133418607723
"scale_task_min_sidewalk_width_m",0.0842521901559098,0.018429999623441,0.0481293908939654,0.120374989417854
"scale_task_n_signalised_junctions",-0.471423623217189,0.0351134641857123,-0.540246013021185,-0.402601233413193
"scale_demand_total_ph",-0.0170415045827006,0.0946608571817889,-0.202576784659007,0.168493775493606
