"term","estimate","se","ci_lo","ci_hi"
"algorithmdijkstra+orca",-0.540607661720845,0.150964584756381,-0.836498247843352,-0.244717075598337
"algorithmdijkstra+orca_heuristic",-0.45627199356399,0.151688826026723,-0.753582092576367,-0.158961894551614
"algorithmdijkstra+rrt",-1.26734401450175,0.147950929735274,-1.55732783678288,-0.977360192220609
"algorithmdijkstra+sarl",-0.784555659254506,0.149324576674652,-1.07723182953682,-0.491879488972188
"algorithmdijkstra+sarl_upstream",-0.0489398659850601,0.156434668313466,-0.355551815879454,0.257672083909334
"algorithmdijkstra+teb",-0.883125630359685,0.148846176691651,-1.17486413667532,-0.591387124044049
"algorithmdijkstra+teb_upstream",0.344449893579361,0.163282814406312,0.0244155773429891,0.664484209815734
"algorithmrrt+astar",-0.970712712658707,0.148507328491583,-1.26178707650221,-0.679638348815204
"algorithmrrt+cadrl",-0.197303465798827,0.154623657205487,-0.500365833921581,0.105758902323927
"algorithmrrt+cadrl_upstream",-2.28119985252993,0.153219015617544,-2.58150912314032,-1.98089058191955
"algorithmrrt+crowdnav_attngraph",-1.06187498458982,0.148316847266983,-1.35257600523311,-0.771173963946534
"algorithmrrt+crowdnav_dsrnn",-0.592463085014611,0.150560199102456,-0.887561075255424,-0.297365094773797
"algorithmrrt+dijkstra",-0.912426536854884,0.148723851552729,-1.20392528589823,-0.620927787811536
"algorithmrrt+dwa",-0.473643940151934,0.151687237065229,-0.770950924799783,-0.176336955504085
"algorithmrrt+lstm_rl",-0.508243704251411,0.151393504958852,-0.804974973970761,-0.211512434532062
"algorithmrrt+lstm_rl_upstream",-1.05746528864932,0.148250625864272,-1.34803651534329,-0.766894061955344
"algorithmrrt+mpc",0.0373146562870915,0.157729158573071,-0.271834494516128,0.346463807090311
"algorithmrrt+mpc_dompc",0.01093726457977,0.157371933090472,-0.297511724277554,0.319386253437094
"algorithmrrt+orca",-0.710291788323262,0.149837692834019,-1.00397366627794,-0.416609910368585
"algorithmrrt+orca_heuristic",-0.0786069691489529,0.156178241750681,-0.384716322980288,0.227502384682383
"algorithmrrt+rrt",-2.28119985252959,0.153219015617548,-2.58150912313998,-1.98089058191919
"algorithmrrt+sarl",-0.804390324251706,0.149219965859071,-1.09686145733549,-0.511919191167926
"algorithmrrt+sarl_upstream",-0.385990841618177,0.152453751215296,-0.684800194000157,-0.0871814892361966
"algorithmrrt+teb",-2.16222948457886,0.151966732833608,-2.46008428093273,-1.86437468822499
"algorithmrrt+teb_upstream",-1.4098342715081,0.148006156566216,-1.69992633837789,-1.11974220463832
"scale_task_path_length_m",-0.288072654270724,0.112762584988522,-0.509087320848228,-0.0670579876932201
"scale_task_n_turns",-0.0873434659056095,0.100229249307435,-0.283792794548182,0.109105862736963
"scale_task_min_sidewalk_width_m",0.0684107644700224,0.0635714469842885,-0.0561892716191831,0.193010800559228
"scale_task_n_signalised_junctions",-0.574762638284016,0.0967652556297154,-0.764422539318258,-0.385102737249774
"scale_demand_total_ph",-0.0911872832008467,0.0871990117762977,-0.26209734628239,0.0797227798806968
