map,global_planner,algorithm,n,success_rate
map5_ucl,dijkstra,teb,100,0.0
map5_ucl,dijkstra,teb_upstream,100,0.05
map5_ucl,rrt,astar,100,0.15
map5_ucl,rrt,cadrl,100,0.36
map5_ucl,rrt,cadrl_upstream,100,0.14
map5_ucl,rrt,crowdnav_attngraph,99,0.5253
map5_ucl,rrt,crowdnav_dsrnn,100,0.43
map5_ucl,rrt,dijkstra,100,0.27
map5_ucl,rrt,dwa,100,0.34
map5_ucl,rrt,lstm_rl,100,0.43
map5_ucl,rrt,lstm_rl_upstream,100,0.42
map5_ucl,rrt,mpc,100,0.29
map5_ucl,rrt,mpc_dompc,100,0.31
map5_ucl,rrt,orca,100,0.25
map5_ucl,rrt,orca_heuristic,100,0.69
map5_ucl,rrt,rrt,100,0.06
map5_ucl,rrt,sarl,100,0.22
map5_ucl,rrt,sarl_upstream,100,0.44
map5_ucl,rrt,teb,100,0.04
map5_ucl,rrt,teb_upstream,100,0.15
