map,route,global_planner,task,global_plan_time_s,global_rrt_params,reactive_peds,jps_model,robot_in_jps,robot_radius_m,robot_height_m,collision_radius_m,params_file,sfm_controlled_steps,sfm_capture_events,psf_backend,psf_package_version,psf_robot_in_sim,psf_robot_mode,psf_robot_radius_m,psf_substeps_per_step,psf_substep_dt_s,psf_speed_calibration,psf_boundary_clamps,psf_capture_events,psf_layer_active_steps,psf_obstacle_resolution_pts_per_m,psf_robot_track_err_mean_m,psf_robot_track_err_p95_m,psf_robot_track_err_max_m,social_force_on_agents,social_force_on_robot,obstacle_force_on_robot,social_work,ped_affected_n,ped_delay_s_mean,ped_deflection_m_mean,ped_deflection_m_max,ped_personal_space_s_total,mode,algorithm,seed,success,termination_reason,sim_time_s,path_length_m,avg_speed_mps,min_pedestrian_distance_m,close_encounter_steps,planner_status_counts,planner_active_frac,collision,time_waiting_at_light_s,strict_sidewalk,walkable_clamped_steps,robot_as_person,num_legs,waypoints,goal_tol,persons_seen,global_plan_error
map1_straight,default,astar,t01,0.0,,pysf,,True,0.25,1.0,0.42,configs/cadrl_upstream__g-astar.json,400,3,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,3,226,4.0,0.578,0.976,0.986,1.14,1.06,527.35,529.55,3,0.03,0.625,0.642,0.0,all,cadrl_upstream,7,True,goal,126.0,104.71,0.831,0.575,4,"{'cadrl_upstream': 175, 'goal_direct': 77}",0.6944,False,0.0,,0,False,3,"[[11.32, 4.2], [0.0, 4.2], [0.0, -4.2], [80.55, -4.2]]",1.0,29,
map1_straight,default,astar,t01,0.0,,pysf,,True,0.25,1.0,0.42,configs/cadrl_upstream__g-astar.json,1319,18,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,18,331,4.0,0.654,0.976,0.986,219.49,36.09,988.66,1244.25,18,1.27,0.642,0.731,32.5,all,cadrl_upstream,8,True,goal,171.5,114.27,0.666,0.446,49,{'cadrl_upstream': 343},1.0,False,0.0,,0,False,3,"[[11.32, 4.2], [0.0, 4.2], [0.0, -4.2], [80.55, -4.2]]",1.0,44,
map1_straight,default,astar,t01,0.0,,pysf,,True,0.25,1.0,0.42,configs/cadrl_upstream__g-astar.json,5,1,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,1,5,4.0,0.32,0.565,0.565,0.24,1.37,4.49,6.09,1,0.27,0.59,0.59,1.0,all,cadrl_upstream,9,False,collision,13.5,9.97,0.739,0.413,1,"{'cadrl_upstream': 25, 'goal_direct': 1}",0.9615,True,0.0,,0,False,3,"[[11.32, 4.2], [0.0, 4.2], [0.0, -4.2], [80.55, -4.2]]",1.0,16,
map1_straight,default,astar,t01,0.0,,pysf,,True,0.25,1.0,0.42,configs/crowdnav_attngraph__g-astar.json,191,2,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,2,187,4.0,0.498,0.835,0.989,1.36,1.36,515.64,518.36,2,0.37,0.649,0.669,1.0,all,crowdnav_attngraph,1,True,goal,101.0,99.7,0.987,0.929,0,{'crowdnav_attngraph': 202},1.0,False,0.0,,0,False,3,"[[11.32, 4.2], [0.0, 4.2], [0.0, -4.2], [80.55, -4.2]]",1.0,27,
map1_straight,default,astar,t01,0.0,,pysf,,True,0.25,1.0,0.42,configs/crowdnav_attngraph__g-astar.json,34721,136,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,136,1555,4.0,0.855,0.985,0.999,60350.44,168.6,6473.85,66992.89,136,1.28,1.751,27.812,126.5,all,crowdnav_attngraph,10,True,goal,790.5,196.16,0.248,0.691,60,{'crowdnav_attngraph': 1581},1.0,False,0.0,,0,False,3,"[[11.32, 4.2], [0.0, 4.2], [0.0, -4.2], [80.55, -4.2]]",1.0,235,
map1_straight,default,astar,t01,0.0,,pysf,,True,0.25,1.0,0.42,configs/crowdnav_attngraph__g-astar.json,334185,461,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,461,3360,4.0,0.784,0.991,1.0,1049344.26,1236.1,12615.11,1063195.48,461,87.08,1.571,11.269,1563.5,all,crowdnav_attngraph,2,False,collision,1716.5,895.09,0.521,0.17,419,{'crowdnav_attngraph': 3432},1.0,True,0.0,,0,False,3,"[[11.32, 4.2], [0.0, 4.2], [0.0, -4.2], [80.55, -4.2]]",1.0,473,
map1_straight,default,astar,t01,0.0,,pysf,,True,0.25,1.0,0.42,configs/crowdnav_attngraph__g-astar.json,404,6,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,6,196,4.0,0.572,0.952,1.0,18.84,12.02,500.7,531.56,6,0.97,0.644,0.66,10.0,all,crowdnav_attngraph,3,True,goal,111.0,101.74,0.917,0.942,0,{'crowdnav_attngraph': 222},1.0,False,0.0,,0,False,3,"[[11.32, 4.2], [0.0, 4.2], [0.0, -4.2], [80.55, -4.2]]",1.0,29,
map1_straight,default,astar,t01,0.0,,pysf,,True,0.25,1.0,0.42,configs/crowdnav_attngraph__g-astar.json,814,9,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,9,201,4.0,0.583,0.789,0.988,96.93,2.74,497.52,597.19,9,0.13,0.638,0.656,2.0,all,crowdnav_attngraph,4,True,goal,103.5,102.5,0.99,1.081,0,{'crowdnav_attngraph': 207},1.0,False,0.0,,0,False,3,"[[11.32, 4.2], [0.0, 4.2], [0.0, -4.2], [80.55, -4.2]]",1.0,28,
map1_straight,default,astar,t01,0.0,,pysf,,True,0.25,1.0,0.42,configs/crowdnav_attngraph__g-astar.json,2872,67,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,67,675,4.0,0.863,1.0,1.0,705.65,83.85,2640.79,3430.29,67,0.94,1.188,13.325,43.5,all,crowdnav_attngraph,5,True,goal,421.5,146.82,0.348,0.649,17,{'crowdnav_attngraph': 843},1.0,False,0.0,,0,False,3,"[[11.32, 4.2], [0.0, 4.2], [0.0, -4.2], [80.55, -4.2]]",1.0,110,
map1_straight,default,astar,t01,0.0,,pysf,,True,0.25,1.0,0.42,configs/crowdnav_attngraph__g-astar.json,227,2,pysocialforce,1.1.2,True,agent,0.25,10,0.05,True,0,2,191,4.0,0.472,0.6,0.972,0.02,0.02,213.59,213.62,2,0.05,0.632,0.64,0.0,all,crowdnav_attngraph,6,True,goal,101.0,100.85,0.999,1.181,0,{'crowdnav_attngraph': 202},1.0,False,0.0,,0,False,3,"[[11.32, 4.2], [0.0, 4.2], [0.0, -4.2], [80.55, -4.2]]",1.0,27,
