success,termination_reason,steps,total_time_s,path_length_m,straight_line_distance_m,extra_distance_ratio,normalized_time_ratio,final_goal_distance_m,min_person_distance_m,collision_steps,hazard_steps_lt_social_distance,hazard_time_ratio,hazard_ratio_given_social_presence,sidewalk_violation_steps,sidewalk_violation_ratio,mean_speed_mps,mean_abs_yaw_rate_radps,mean_abs_accel_mps2,mean_abs_jerk_mps3,seed,algorithm
False,collision,178,88.5,70.4,295.8,0.238,0.2394,225.751,0.099,1,8,0.0449,0.0449,0,0.0,0.793,0.049,0.018,0.052,55,dwa
False,collision,546,272.5,213.619,295.8,0.7222,0.737,88.108,0.163,1,38,0.0696,0.0696,0,0.0,0.783,0.09,0.028,0.1,56,dwa
False,collision,516,257.5,203.58,295.8,0.6882,0.6964,92.747,0.225,1,18,0.0349,0.0349,0,0.0,0.79,0.041,0.019,0.061,57,dwa
False,collision,531,265.0,209.41,295.8,0.7079,0.7167,87.131,0.22,1,48,0.0904,0.0904,0,0.0,0.789,0.045,0.018,0.06,58,dwa
False,collision,109,54.0,40.83,295.8,0.138,0.146,255.722,0.098,1,8,0.0734,0.0734,0,0.0,0.753,0.149,0.128,0.447,59,dwa
False,collision,518,258.5,205.53,295.8,0.6948,0.6991,90.894,0.171,1,21,0.0405,0.0405,0,0.0,0.794,0.041,0.011,0.035,60,dwa
False,collision,588,293.5,230.99,295.8,0.7809,0.7938,66.205,0.282,1,40,0.068,0.068,0,0.0,0.786,0.054,0.03,0.097,61,dwa
False,collision,529,264.0,209.5,295.8,0.7082,0.714,86.979,0.167,1,12,0.0227,0.0244,0,0.0,0.793,0.045,0.01,0.031,62,dwa
False,collision,175,87.0,69.39,295.8,0.2346,0.2353,226.469,0.183,1,4,0.0229,0.0229,0,0.0,0.795,0.036,0.009,0.018,63,dwa
False,collision,204,101.5,80.99,295.8,0.2738,0.2745,214.936,0.148,1,9,0.0441,0.0441,0,0.0,0.796,0.036,0.008,0.017,64,dwa
False,max_time,1801,900.0,127.54,295.8,0.4312,2.4341,168.928,0.49,0,23,0.0128,0.0128,0,0.0,0.142,0.038,0.003,0.011,65,dwa
False,collision,537,268.0,211.919,295.8,0.7164,0.7248,85.054,0.099,1,15,0.0279,0.0294,0,0.0,0.79,0.051,0.02,0.055,66,dwa
False,collision,540,269.5,212.1,295.8,0.717,0.7289,84.52,0.058,1,24,0.0444,0.0444,0,0.0,0.786,0.048,0.018,0.058,67,dwa
False,collision,230,114.5,91.29,295.8,0.3086,0.3097,204.843,0.079,1,9,0.0391,0.0391,0,0.0,0.796,0.043,0.01,0.024,68,dwa
