success,termination_reason,steps,total_time_s,path_length_m,straight_line_distance_m,extra_distance_ratio,normalized_time_ratio,final_goal_distance_m,min_person_distance_m,collision_steps,hazard_steps_lt_social_distance,hazard_time_ratio,hazard_ratio_given_social_presence,sidewalk_violation_steps,sidewalk_violation_ratio,mean_speed_mps,mean_abs_yaw_rate_radps,mean_abs_accel_mps2,mean_abs_jerk_mps3,algorithm,seed
False,collision,188,93.5,108.15,295.85,0.3656,0.3792,187.745,0.391,1,10,0.0532,0.0532,0,0.0,1.152,0.017,0.01,0.013,astar,61
False,collision,351,175.0,206.85,295.85,0.6992,0.7098,89.173,0.363,1,13,0.037,0.037,0,0.0,1.179,0.02,0.005,0.007,astar,62
True,goal_reached,504,251.5,296.25,295.85,1.0014,1.0201,0.145,0.408,0,28,0.0556,0.0606,0,0.0,1.176,0.021,0.016,0.033,astar,63
False,collision,350,174.5,205.2,295.85,0.6936,0.7078,90.767,0.391,1,6,0.0171,0.0171,0,0.0,1.173,0.013,0.012,0.034,astar,64
False,collision,224,111.5,125.1,295.85,0.4228,0.4523,170.832,0.329,1,19,0.0848,0.0848,0,0.0,1.118,0.019,0.03,0.049,astar,65
False,collision,233,116.0,136.5,295.85,0.4614,0.4705,159.414,0.353,1,16,0.0687,0.0687,0,0.0,1.173,0.019,0.013,0.031,astar,66
False,max_time,841,420.0,500.099,295.85,1.6904,1.7036,0.289,0.413,0,49,0.0583,0.0603,0,0.0,1.19,0.871,0.009,0.013,astar,67
False,collision,264,131.5,153.6,295.85,0.5192,0.5334,142.298,0.307,1,19,0.072,0.0736,0,0.0,1.165,0.006,0.016,0.046,astar,68
False,collision,413,206.0,245.1,295.85,0.8285,0.8356,51.005,0.387,1,16,0.0387,0.0395,0,0.0,1.188,0.035,0.01,0.015,astar,69
False,collision,235,117.0,129.6,295.85,0.4381,0.4746,166.346,0.362,1,17,0.0723,0.0723,0,0.0,1.104,0.021,0.023,0.031,astar,70
False,collision,211,105.0,123.45,295.85,0.4173,0.4259,172.407,0.227,1,12,0.0569,0.0569,0,0.0,1.172,0.002,0.026,0.057,astar,71
False,collision,195,97.0,110.55,295.85,0.3737,0.3934,185.355,0.35,1,8,0.041,0.041,0,0.0,1.135,0.015,0.028,0.037,astar,72
False,collision,377,188.0,212.7,295.85,0.7189,0.7625,83.502,0.372,1,15,0.0398,0.0398,0,0.0,1.129,0.034,0.049,0.118,astar,73
False,collision,347,173.0,206.7,295.85,0.6987,0.7017,89.458,0.21,1,19,0.0548,0.0549,0,0.0,1.192,0.027,0.009,0.017,astar,74
False,collision,189,94.0,108.3,295.85,0.3661,0.3813,187.57,0.364,1,10,0.0529,0.0529,0,0.0,1.148,0.004,0.016,0.039,astar,75
False,collision,306,152.5,181.35,295.85,0.613,0.6186,114.653,0.371,1,22,0.0719,0.0719,0,0.0,1.186,0.02,0.014,0.02,astar,76
False,collision,206,102.5,120.45,295.85,0.4071,0.4158,175.428,0.272,1,29,0.1408,0.1534,0,0.0,1.171,0.007,0.02,0.029,astar,77
False,collision,232,115.5,136.5,295.85,0.4614,0.4685,159.442,0.392,1,24,0.1034,0.1034,0,0.0,1.178,0.014,0.018,0.026,astar,78
False,collision,214,106.5,114.15,295.85,0.3858,0.432,181.767,0.35,1,20,0.0935,0.0957,0,0.0,1.068,0.018,0.048,0.079,astar,79
False,collision,217,108.0,126.0,295.85,0.4259,0.4381,169.874,0.375,1,23,0.106,0.106,0,0.0,1.163,0.003,0.008,0.011,astar,80
False,collision,229,114.0,130.2,295.85,0.4401,0.4624,165.767,0.391,1,12,0.0524,0.0524,0,0.0,1.138,0.028,0.018,0.032,astar,81
False,collision,347,173.0,204.6,295.85,0.6916,0.7017,91.405,0.365,1,25,0.072,0.072,0,0.0,1.18,0.018,0.016,0.045,astar,82
False,collision,349,174.0,206.25,295.85,0.6971,0.7058,89.828,0.165,1,22,0.063,0.063,0,0.0,1.183,0.021,0.012,0.017,astar,83
False,collision,153,76.0,89.4,295.85,0.3022,0.3083,206.513,0.353,1,9,0.0588,0.0588,0,0.0,1.171,0.014,0.012,0.016,astar,84
